speaker_id,slide_id,question_id,problem_id,text
PK,,,,Witamy na badaniu jakościowym z ekspertem w zakresie mykologii. Czy potwierdza pani swoją zgodę na rejestrację audio-wideo naszego spotkania?
PK_DE_01,,,,Tak.
PK,,,,"Bardzo dziękuję. Rozpoczynamy badanie właściwe, będę objaśniać po kolei, jakie są kolejne kroki. Chciałam uprzedzić, że nasze badanie może potrwać około 60 minut. Wszystko też zależy od pani, jeżeli będzie pani miała, czuła potrzebę i zasadność komentowania dłużej niektórych treści, to pani jest tutaj głównodowodzącą. Najdłuższy wywiad, jaki mieliśmy kiedykolwiek, trwał ponad 2 godziny. Mówię o tym dla porządku, natomiast myślę, że spokojnie uda nam się zamknąć w około 60 minutach. Następna rzecz: w każdej chwili może pani wycofać się z badania, nie podając żadnego powodu. Oczywiście w każdej chwili może pani zgłosić, że idzie na przerwę, że potrzebuje odetchnąć, odpocząć. Jeżeli cokolwiek by było niejasne, proszę do skutku żądać ode mnie powtórzenia, wyjaśnienia. Ja jestem tutaj dla pani i mam zamiar służyć prawidłowo. Bardzo mi na tym zależy. Raz jeszcze powtórzę, że zależy nam wyłącznie na treściach pani komentarzy, pani opinii, pani odczuć. Nie oceniamy pani kompetencji, nie oceniamy pani wiedzy ani o wizualizacjach danych, ani o grzybach. Po prostu sprawdzamy, jak pani jako ekspertka ocenia funkcjonowanie modelu sztucznej inteligencji. Następna rzecz bardzo istotna. Potwierdzamy obie, że była pani łaskawa przed rozpoczęciem nagrania wypełnić wszystkie formularze zgód, wszędzie zaznaczając odpowiedź, tak, tak. Teraz proszę pozwolić, że zanim jeszcze ujawnię treść badania, pokażę, w jaki sposób będziemy wspólnie pracować. Pokażę pani za chwilkę na ekranie swojego komputera, a także prześlę pani pocztą, na wypadek gdyby pani wolała oglądać ten materiał z własnego monitora, to jest do wyboru, bo ja będę udostępniać ekran, a jeśli to będzie dla pani niewygodne, będzie Pani mogła sobie to otworzyć u siebie. Pokażę pani materiał badawczy w postaci prezentacji w powerpoincie. Ta prezentacja będzie składała się głównie z wizualizacji i infografik z objaśnieniami. Będzie w formie edytowalnej, co oznacza, że jeśli pani będzie widziała taką potrzebę, będzie Pani mogła w tym materiale zmieniać kolejność slajdów, wykreślać jakieś fragmenty, samodzielnie poprawiać różne treści, na przykład objaśnienia, dopisywać uwagi wyrażające dowolny komentarz albo merytoryczny, albo emocjonalny. Gdyby na przykład odczuła pani satysfakcję i chciała powiedzieć, że ten slajd jest na przykład trafny. Albo odwrotnie, gdyby coś panią mocno zirytowało, gdyby odczuwała pani zagniewanie i chciała zostawić ślad tego odczucia. Proszę pozwolić zapytam, czy mam pokazywać, w jaki sposób można zmieniać kolejność slajdów i bawić się slajdami w prezentacji powerpointa, czy jest to absolutnie oczywiste dla pani? Ale musiałam zapytać."
PK_DE_01,,,,Nie. 
PK,__S00__,,," I druga bardzo ważna rzecz, zanim zaczniemy, a to nastąpi za mniej niż minutę, będziemy, będziemy proponować pani pracę według techniki badawczej, które nazywa się protokołem głośnego myślenia, Think Aloud Protocol, i zgodnie z nazwą ta technika zakłada, że nasz respondent, kiedy prezentujemy mu treści do skomentowania i polecenia do wykonania, robi to, a jednocześnie stara się werbalizować absolutnie każdą myśl i każde odczucie, które pojawia się w jego umyśle i w jego strefie afektywnej. Proszę pozwolić, że w tej chwili puszczę króciutki fragment autentycznego nagrania badania z inną respondentką według protokołu Think Aloud i usłyszymy, jak ona werbalizowała to, co przechodziło jej przez głowę. Ja w tej chwili to udostępnię prędziutko i już za minutę, mniej niż minutę już jedziemy, bo już sama jestem bardzo ciekawa i niecierpliwa. Puścimy tego sampla, jest króciutkie nagranie. Proszę łaskawie zatrzymać, powiedzieć mi, że mam zatrzymać nagranie, kiedy będzie pani uważała, że już zupełności wystarczy. Udostępniam nagranie z dźwiękiem z komputera. Czy czy zyskała pani wyobrażenie o tym, jak brzmi efekt zastosowania tej metody głośnego myślenia? Wspaniale, moja rola w tym badaniu ogranicza się do tego, by pani służyć i pani towarzyszyć. Mam dbać o to, ażeby podsuwać pani kolejne pytania, pokazywać materiał do badań w postaci prezentacji w powerpoincie, odpowiadać na pani pytania i też mam czuwać nad tym, żeby nie zapomniała pani werbalizować. To jest absolutnie naturalnym odruchem każdego z nas, bo na co dzień nie opowiadamy na głos ludziom tego, co na bieżąco myślimy. Więc proszę się nie pogniewać, ale jeżeli przez dłuższy czas będzie pani zachowywać milczenie, to prawdopodobnie będę bardzo dyskretnie i bardzo delikatnie zachęcać, żeby powrócić do werbalizowania treści swoich myśli. I teraz wreszcie jest ten wspaniałym moment, kiedy możemy przejść do badania właściwego. W tej chwili wyślę pani mailem materiały do badania, które może pani albo sobie otworzyć u siebie na komputerze i korzystać z nich z własnego ekranu, albo może pani śledzić je na monitorze tym naszym w naszym spotkaniu, bo ja je będę udostępniać razem z obrazem. Ja może pani pokażę, w jaki sposób wygląda udostępnienie tego przez komputer mój. I teraz proszę pozwolić, że ja udostępnię prezentację, która będzie nam potrzebna, tylko ją najpierw otworzę elegancko. Czy pani już widzi na ekranie, czy jeszcze nie?"
PK_DE_01,__S1__,,,No tak.
PK,,,,"Tak ja mogę oczywiście to powiększyć, jeśli pani chce, mogę to dać na cały ekran."
PK_DE_01,,,,"Nie, nie potrzeba. To jest ta informacja, którą miałam ankiecie."
PK,,,,"To nie jest ta informacja, to jest informacja inna to jest."
PK_DE_01,,,,Ale podobnie.
PK,,,,Proszę sobie łaskawie może przeczytać?
PK_DE_01,,,,Już.
PK,__S3__,,," Jak już, dobrze, to przechodzimy dalej."
PK_DE_01,,,,Tutaj też mam coś mówić?
PK,,,,"Nie, to jest, jeżeli pani ma jakiekolwiek komentarze, to wtedy oczywiście. Jeśli cokolwiek się pani nasuwa, to proszę na bieżąco to wypowiedzieć głośno."
PK_DE_01,,,,Już przeczytałam.
PK,,,,"Mhm. czy coś czy coś pojawia się w pani w pani umyśle jako komentarz do tych treści, które były na pierwszych slajdach?"
PK_DE_01,,,,"Teraz mi się rozjaśniło, bo wczoraj przy tej ankiecie miałam problem ze zrozumieniem tego, co tam było zawarte, po prostu stwierdziłam, że na tej podstawie sztuczna inteligencja nie będzie w stanie zaklasyfikować grzybów do jadalnych lub trujących. A tutaj widzę, że były brane pod uwagę jakieś gatunki konkretne."
PK,,,,"Czyli ta informacja pozwala pani przypuszczać, w przeciwieństwie od dnia wczorajszego, że być może ten model sztucznej inteligencji jakąś tam skuteczność ma w odróżnianiu, tak, ale do tego były potrzebne dopiero dane o, Boże, informacje o zbiorze danych, że dotyczy on grzybów konkretnych. "
PK,__S4__,,,"Dobrze, to teraz przechodzimy do slajdu 4 i zaczynają się takie slajdy, do których będę zadawać pani pytania. Pani może sobie również plik z pytaniami otworzyć u siebie, jeśli by pani wolała je mieć na podorędziu, a jeśli nie, to ja zadam te pytania ustnie. I mogę w każdej chwili również pokazać."
PK_DE_01,,,,Tak. Mhm. Tak.
PK,,,,W każdej chwili mogę powiększyć poszczególne pytanie. 
PK,,__Q1__,,"Pytanie do slajdu 4, które zaraz pokażę: przedstaw, jak rozumiesz rozkład cech dotyczących sposobu przyrastania blaszek. Na slajdzie 4, oglądamy teraz slajd 4. Oto slajd 4 i chyba ja go jednak powiększę."
PK_DE_01,,,,"Mhm. Mhm mhm. To znaczy, trudno mi tu pojąć, co oznaczają te fioletowe znaki. Czyli co, klasa jako trujący najwięcej cech oznacza?"
PK,,,,"Tryb naszego badania jest taki, że ja niestety nie mogę pani pomagać w żaden sposób, ponieważ, no, celem jest sprawdzenie, czy wizualizacja sama w sobie jest zrozumiała i przyjazna bez pomocy z naszej strony, prawda? Czy sama się daje interpretować? Więc mogę tylko powtórzyć w tej chwili treść pytania, które sobie tutaj mamy cały czas. Już zobaczymy."
PK_DE_01,,,,Aha.
PK,,,,"Obie możemy do tego wrócić, jak brzmi treść treść pytania? Treść pytania brzmi tak: przedstaw, jak rozumiesz rozkład cech dotyczących sposobu przyrastania blaszek. Przedstaw, jak rozumiesz rozkład cech dotyczących sposobu przyrastania blaszek. Bardzo dobrze, i zobaczymy to jeszcze raz, na prezentacji. Jak rozumiesz rozkład cech „sposób przyrastania blaszek do trzonu”."
PK_DE_01,,,,"Czyli biorę pod uwagę slajd 6, znaczy nie slajd, tylko ten diagram 6."
PK,,,,Diagram.
PK_DE_01,,,,"Blaszki: przyrośnięte, zbiegające, wykrojone, rurki. Rurki to nie blaszki. Wolne. U grzybów trujących raczej wolne, choć nie zawsze."
PK,,,,A jak pani zareaguje na obecność rurek na na tym diagramie?
PK_DE_01,,,,Wykluczę.
PK,,,,"Czyli one tutaj powinny być, czy ich obecność jest zaskakująca?"
PK_DE_01,,,,"Nie jest zaskakująca, bo w zasadzie wśród grzybów rurkowych brak jest śmiertelnie trujących. Mogą być niejadalne, gorzkie i niesmaczne, ale nie ma takich typowo bardzo trujących. "
