speaker_id,slide_id,question_id,problem_id,text
MW,,,,"Będziemy dzisiaj pracować taką metodą, która nazywa się ThinkAloud Protocol. Nie wiem, czy się pani z nią kiedyś spotkała?"
MW_IT_07,,,,Nie.
MW,,,,"[wyjaśnienie metody pracy]. Zacznijmy sobie myślę od wejścia w ten folder, który się znajduje w prawym górnym rogu, on się nazywa TabTest. I tu się znajdują dwa materiały. Pierwszy materiał to jest taka standardowa prezentacja multimedialna w PowerPoint. Czy z takimi prezentacjami miała pani do czynienia?"
MW_IT_07,,,,Tak.
MW,,,,"Tutaj będziemy wykonywać na naszej docelowej prezentacji takie operacje jak np. dodawanie slajdów, odejmowanie, dodawanie komentarzy. Gdyby sobie pani chciała na takim materiale testowym to przyćwiczyć to można. A jeśli nie ma takiej potrzeby to też można ten etap pominąć. Można sobie zobaczyć, to jest taka prezentacja akurat z psami. Można sobie właśnie zmienić kolejność stylów albo sobie coś dodać. Tak, żeby pani wiedziała, że takie operacje może wykonać. I drugi plik to jest plik taki dźwiękowy, który pokazuje właśnie w jaki sposób taka sesja przebiega. On właśnie pokazuje taką sesję podobną do naszej. Tutaj jedna z użytkowniczek sobie ogląda akurat serwis internetowy i właśnie głośno myśli. Więc może sobie pani kawałeczek odsłuchać albo całość."
MW_IT_07,,,,[odtwarzanie nagrania].
MW,,,,Wiemy mniej więcej na czym polega?
MW_IT_07,,,,Tak.
MW,__S00__,,,"To możemy przejść do naszego badania właściwego. Chciałabym, żeby sobie pani weszła w ten folder wyżej, czyli ten właśnie z badaniem i w prezentację multimedialną, która się tutaj znajduje. To akurat są pytania, też nam się przydadzą, ale w kolejny plik, ten właśnie tutaj z prezentacją. Można sobie włączyć tryb edycji, bo będziemy się tą prezentacją bawić. I chciałam, żeby na początek tak pani sobie luźniutko tę prezentację przejrzała i spróbowała zobaczyć, o czym ona w ogóle jest i podzielić się swoimi pierwszymi wrażeniami. Pierwszymi wrażeniami. Tutaj się pani na razie zapoznaje z tymi slajdami początkowymi. Jakie są pierwsze wrażenia? Czego ta prezentacja może dotyczyć?"
MW_IT_07,,,,"Z tego co już wiem, to prezentacja dotyczy badania odnośnie grzybów rosnących, jadalnych i niejadalnych. I te tabele reprezentują jakieś zbiory informacji."
MW,,,,Czy z takimi typami wizualizacji pani spotkała się kiedyś wcześniej?
MW_IT_07,,,,"Tak, ale to jest takie bardziej skomplikowane dla mnie."
MW,,,,"Czyli te pierwsze dwie wizualizacje tak, tutaj te statystyki opisowe już mniej."
MW_IT_07,,,,"Ok, no to jakby zrozumiały kiedy zaczyna się jakby czytać, ale tak kiedy pierwszy pogląd to nie za bardzo. Tak. Ok, idziemy dalej. Tą wizualizację też już widziałam. I ona jest jakby na drugim miejscu. Między pierwszą a drugą, po zrozumieniu. Mhm. Dobra, tam legenda, ok, [czyta po cichu] ok, ta wizualizacja jest taka najlepsza chyba dla mnie."
MW,,,,Czyli wodospad?
MW_IT_07,,,,Tak. Tak. [czyta po cichu].
MW,,,,"Teraz jesteśmy na tym wykresie Lime. Na pierwszy rzut oka, jakie sprawia wrażenie?"
MW_IT_07,,,,"Wizualnie wygląda super, ale trzeba na chwilkę się zastanowić, co odnosi się do czego i przeczytać wszystko, co tu jest, żeby zrozumieć tą analizę w ogóle. Ok."
MW,,,,Co z tymi analizami kontrfaktycznymi? Czy z takim typem kiedyś się pani spotkała?
MW_IT_07,,,,"No tak w życiu nie, tylko jeden raz wiedziałam, kiedy uzupełniałam ten pierwszy..."
MW,,,,W ankiecie pewnie.
MW_IT_07,,,,"Tak, w ankiecie. Wtedy nie za bardzo zrozumiałam, ale to są objaśnienia i teraz brzmi lepiej. I to jest legenda?"
MW,,,,Mhm.
MW_IT_07,,,,Ok.
MW,,,,Znajdź z objaśnieniem.
MW_IT_07,,,,Bo to już jest ok dla mnie. Już wiem o co chodzi z tym modelem i jaki mechanizm wykorzystuje się.
MW,,,,"Czy z takimi wykresami pudełkowymi, histogramami się pani spotkała?"
