code,descriptive statistics,counterfactual analysis,anchor,LIME,waterfall,bee swarm,text slides,box plots,histograms,distribution of features,TOTAL
affects > overwhelming > uncertainty,21,18,24,26,34,24,9,19,21,19,215
methods of analysis > difficulties,10,26,10,11,18,27,3,18,21,16,160
negative reception,13,20,10,9,12,8,3,11,8,18,112
methods of analysis > discrepancies,6,13,6,14,15,7,1,6,7,3,78
expectations,7,6,6,6,11,4,9,1,2,8,60
expectations > biotope,3,4,4,1,2,4,6,1,0,31,56
barriers > concerns,4,5,7,3,6,2,3,0,0,5,35
methods of analysis > ai hypotheses,1,4,8,2,5,5,2,1,1,3,32
personification,0,13,3,2,1,2,1,0,2,6,30
expectations > macroscopic features,2,3,4,1,8,4,0,0,0,3,25
expectations > organoleptic features,1,0,2,1,0,3,2,0,0,1,10
