question_id,related_slide_id,question,question_en
__Q1__,__S4__,"Przedstaw, jak rozumiesz rozkład cech dotyczących: sposobu przyrastania blaszek.",Present how you understand the distribution of features related to: the way the gills grow.
__Q2__,__S5__,"Przedstaw, jak rozumiesz rozkład cech dotyczących: typu siedliska.",Present how you understand the distribution of features related to: the type of habitat.
__Q3__,__S6__,Dlaczego w zbiorze brakuje niektórych danych? Z czego to wynika Twoim zdaniem?,Why are some data missing in the dataset? What do you think is the reason for this?
__Q4__,__S7__,"Czy na podstawie wykresu jesteś w stanie określić cechy, które najczęściej pojawiają się po jego prawej stronie i sugerują silny wpływ na klasyfikację grzyba jako niejadalnego/trującego?","Based on the graph, are you able to determine the features that most often appear on the right side and suggest a strong impact on classifying the mushroom as inedible/poisonous?"
__Q5__,__S7__,"Czy na podstawie wykresu jesteś w stanie określić te cechy, które dla różnych obserwacji mają różny wpływ na klasyfikację grzyba jako niejadalnego/trującego (skąd biorą się niektóre punkty po prawej, a inne po lewej)?","Based on the graph, are you able to determine which features have a different impact on the classification of the mushroom as inedible/poisonous for different observations (where do some points come from on the right side and others on the left)?"
__Q6__,__S8__,"Czy na podstawie wykresu jesteś w stanie określić, które cechy mają największy wpływ dodatni na predykcję modelu, a które największy ujemny na definitywną predykcję modelu? Czy jesteś w stanie wyjaśnić, dlaczego te cechy są istotne?","Based on the graph, are you able to determine which features have the greatest positive influence on the model's prediction and which have the greatest negative influence on the definitive prediction? Can you explain why these features are important?"
__Q7__,__S8__,"Czy jesteś w stanie stwierdzić, dlaczego wykres zaczyna się od bazowej wartości i w jaki sposób ta wartość wpływa na interpretację pozostałych elementów wykr",Are you able to determine why the graph starts from the baseline value and how this value influences the interpretation of the other elements presented in the graph?
__Q8__,__S8__,"Czy jesteś w stanie wyjaśnić, w jaki sposób ostateczna wartość na końcu przedstawionego wykresu odzwierciedla predykcję modelu dla tej określonej (konkretnej) obserwacji? Czy tego oczekiwałeś?",Are you able to explain how the final value at the end of the graph reflects the model's prediction for this particular observation? Did you expect this?
__Q9__,__S8__,"Czy te cechy, które według wykresu najsilniej wpływają na predykcję, odpowiadają Twojej wiedzy o grzybach? Czy jesteś w stanie ocenić to, co podpowiada model AI, w świetle własnej wiedzy i doświadczenia?","Do the features that, according to the graph, have the strongest influence on the prediction correspond to your knowledge about mushrooms? Are you able to evaluate what the AI model suggests in light of your own knowledge and experience?"
__Q10__,__S9__,"Na podstawie wykresu wskaż te cechy, które zwiększają prawdopodobieństwo zaklasyfikowania grzyba jako niejadalnego/trującego.","Based on the graph, indicate which features increase the probability of classifying the mushroom as inedible/poisonous."
__Q11__,__S9__,"Czy można założyć na podstawie wykresu, że istnieją przypadki, kiedy cecha, która jest mało istotna i/lub średnio istotna, może stać się bardzo ważna?","Can it be assumed based on the graph that there are cases where a feature, which is of low or medium importance, can become very important?"
__Q12__,__S9__,Czy wyniki przedstawione na tym wykresie są zgodne z Twoją wiedzą o grzybach i doświadczeniem?,Are the results presented on this graph consistent with your knowledge about mushrooms and experience?
__Q13__,__S10__,"Czy patrząc na poniższą wizualizację, jesteś w stanie stwierdzić, jakie zmiany w cechach mają największy wpływ na zmianę klasyfikacji grzyba z niejadalnego/trującego na jadalny lub odwrotnie?","Looking at the visualization below, are you able to determine which changes in the features have the greatest impact on changing the classification of the mushroom from inedible/poisonous to edible or vice versa?"
__Q14__,__S10__,Czy zmiany przedstawione na wizualizacji mają sens w kontekście rzeczywistych właściwości grzybów i są zgodne z Twoją wiedzą o grzybach?,Do the changes shown in the visualization make sense in the context of the actual properties of mushrooms and are they consistent with your knowledge of mushrooms?
__Q15__,__S12__,Jak zinterpretujesz: a) wykres pudełkowy dla wysokości trzonu; b) histogram dla szerokości trzonu?,How would you interpret: a) the box plot for stem height; b) the histogram for stem width?
__Q16__,__S13__,"Zidentyfikuj te cechy, które są najważniejsze do zakwalifikowania grzyba jako jadalnego albo niejadalnego/trującego dla obu przykładów i odpowiedz, dlaczego te cechy są istotne?",Identify the features that are most important for classifying the mushroom as edible or inedible/poisonous for both examples and explain why these features are important.
__Q17__,__S14__,"Czy jesteś w stanie zidentyfikować, jak zmienia się pewność (precision) modelu podczas odznaczania poszczególnych cech metody kotwicy i które cechy mają największy wpływ na zmianę pewności?",Are you able to identify how the model's certainty (precision) changes when unmarking individual features in the anchor method and which features have the greatest impact on changing certainty?
__Q16__,__S14__,"Zidentyfikuj te cechy, które są najważniejsze do zakwalifikowania grzyba jako jadalnego albo niejadalnego/trującego dla obu przykładów i odpowiedz, dlaczego te cechy są istotne?",Identify the features that are most important for classifying the mushroom as edible or inedible/poisonous for both examples and explain why these features are important.
__Q17__,__S13__,"Czy jesteś w stanie zidentyfikować, jak zmienia się pewność (precision) modelu podczas odznaczania poszczególnych cech metody kotwicy i które cechy mają największy wpływ na zmianę pewności?",Are you able to identify how the model's certainty (precision) changes when unmarking individual features in the anchor method and which features have the greatest impact on changing certainty?
