speaker_id,slide_id,question_id,problem_id,text
MZ,,,,"Dobrze, jest, chyba coś nagrywa, no ta transkrypcja jest taka sobie ale."
MZ,,,,"Później przepuścimy przez jakieś inne narzędzie, które nam uzdatni to nagranie."
MZ,,,,"Ok zaczyna się nagrywanie, to zminimalizujemy."
MZ,,,,W wersji audio. Tu pana zapraszam.
MZ,,,,"Dyktafon jeszcze włączę i tu panu dam na wszelki wypadek, gdyby Teams uznał, że nie współpracuje z nami."
MZ,,,,"Proszę sobie przygotować stanowisko, bo pan będzie operował tym tym komputerem, jakby, żeby było panu wygodnie."
MZ_IT_05,,,,W porządku.
MZ,,,,"To tak mamy włączone już audio i nagrywanie. Będą 2 rodzaje materiałów w technice think aloud protocol, będzie prezentacja to jest testowa prezentacja tylko żeby pan wiedział o co chodzi w tej właściwej będzie mógł pan z tą prezentacją zrobić, tak."
MZ,,,,"Zmienić kolejność slajdów, żeby kolejność była taka. No dla pana jest najbardziej użyteczna, pana zdaniem, która panu najbardziej odpowiada."
MZ,,,,"No i wiem, że pan to na pewno potrafi, ale gdyby pan mógł to zmienić troszkę."
MZ_IT_05,,,,"Będzie to tak, że po prostu ja sobie mogę przeglądać w dowolnej kolejności? "
MZ,,,,"Najpierw będzie pan przeglądał w narzuconej kolejności, a później będzie mógł pan zmienić. Dobra."
MZ,,,,"Tak, żeby zaproponować taki układ, który pana zdaniem będzie najlepszy."
MZ,,,,"Będzie mógł pan tak, dodać jakiś slajd, jeśli uzna pan, że brakuje jakichś materiałów."
MZ,,,,"Więc jakby mógł pan dodać tutaj roboczo, po prostu jakiś slajd i będzie mógł pan tam opisać, jeśli będzie miał jakiś pomysł, co tam wrzucić."
MZ,,,,"Albo tam w polu notatek, skoro można użyć tych pól i to pisać też."
MZ,,,,"I jeszcze jedna rzecz, jeśli uzna pan, że coś w tej prezentacji właściwej."
MZ,,,,"Będzie całkowicie niepotrzebne takie, że nie widzi pan możliwości poprawy tego, żeby było użyteczne."
MZ,,,,"To proszę, żeby przeniósł pan to za czarny slajd, tam na dole jest tutaj czarny slajd. Załóżmy, że kot jest niepotrzebny."
MZ,,,,"Czyli tak kolejność będzie pan układał według siebie, tylko jak już przejdziemy przez pytania."
MZ,,,,Może pan dodawać materiały.
MZ,,,,"I, jeśli coś jest niepotrzebne, za czarny slajd."
MZ,,,,"To jest pierwsza rzecz, czyli ta prezentacja powerpointa, 2 pytania."
MZ,,,,"Aktualne pytania będzie przed panem, ja będę czytać, no, ale też będzie miał pan to to przed sobą, żebym mógł zerknąć, jeśli w którymś momencie, by pan zapomniał w ogóle, o czym opowiada. Pierwsze jest troszkę rozbudowane, bo ma pytania szczegółowe do slajdów, które tam są."
MZ,,,,Kolejne już trochę krótsze są.
MZ,,,,I co.
MZ,,,,"I technika think aloud protocol polega na tym, że będę pana prosić w trakcie odpowiadania na te pytania, żeby pan cały czas mówił."
MZ,,,,"Co widzi, co robi, co czuje, co się panu podoba, nie podoba, wszystko w miarę jak będzie panu przychodziło do głowy. Jakby pan będzie starał się to w werbalizować, co może być trudne na początku, więc no jakby były jakieś dłuższe fragmenty ciszy."
MZ,,,,"Będę Panu starała się tak neutralnie po prostu pytać, na co pan teraz patrzy, co pan robi? Coś w tym stylu, żeby no nie wystraszyć pana, ale też niczego nie zasugerować, ale tak tylko przypomnieć. "
MZ_IT_05,,,,"Postaram się, nie jestem jakąś taką bardzo rozmowną osobą."
MZ,,,,Ale no to tym bardziej warto.
MZ,,,,"Pana punkt widzenia tutaj poznać, bo to jest bardzo cenne jak właśnie ktoś, kto mniej mówi tutaj się zgodzi."
MZ,,,,"Uczestniczyć w takim badaniu, przekaże nam to, co myśli na temat materiału. Odczytam panu teraz ten fragment dotyczący tej techniki i żeby było tak jak sobie przygotowaliśmy i będzie mógł pan jeszcze zadawać pytania do tego. "
MZ_IT_05,,,,Ok.
MZ,,,,"Załóżmy taką sytuację. Korzysta Pan z aplikacji, która ułatwia odróżnianie grzybów jadalnych od niejadalnych lub trujących."
MZ,,,,Czyli to co tam w ankiecie było.
MZ,,,,No i podpowiedzi tej aplikacji są wynikiem przetwarzania przez sztuczną inteligencję zbioru danych o grzybach.
MZ,,,,"I zaraz zobaczy pan kilka wizualizacji infografik, które objaśniają sposób działania modelu sztucznej inteligencji. No i będę pana prosić o zinterpretowanie i ocenę użyteczności tych objaśnień dla pana."
MZ,,,,"I w trakcie odpowiadania, proszę o właśnie o to głośne mówienie. Co pan widzi myśli czuje, co się pan podoba? Co się panu nie podobało? Wszystko, co przyjdzie panu do głowy i może żeby było panu łatwiej, to puszczę panu przykład."
MZ,,,,Takie werbalizacji z tej techniki.
MZ,,,,On jest.
MZ,,,,"Całkowicie niezwiązany z tematem, ani nawet rodzajem materiału, żeby niczego nie sugerować."
MZ,,,,Dotyczył.
MZ,,,,Ocena użyteczności strony internetowej.
MZ,,,,"Było tam jakieś zadanie do wykonania, no i po prostu w trakcie wykonywania tego zadania ktoś głośno myślał."
MZ,,,,"Czyli jest tam na stronie Pol Konu Konwentu, który odbył się w Warszawie i chciałabym zobaczyć sobie program i zarejestrować się."
MZ,,,,Więc w menu głównym?
MZ,,,,Wjeżdżam na program.
MZ,,,,Rozwijamy się.
MZ,,,,Bloki programowe.
MZ,,,,Klikam.
MZ,,,,Bloki programowe.
MZ,,,,"Blog literacki razem razem z miejscem, w którym, w którym się to odbywa."
MZ,,,,"Wygląda fajnie, szczerze mówiąc przejrzyście."
MZ,,,,"Zwłaszcza, że są miejsca, w których, w których to się odbywa, więc więc wydaje mi się, że jest to bardzo przydatna informacja."
MZ,,,,Oprócz tego mogę wejść jeszcze z menu w listę atrakcji.
MZ,,,,Trzymam przerzuci.
MZ,,,,Tłum. Między indziej.
MZ,,,,"Nie podoba mi się to nie wiem, czy nadal jestem na tej samej stronie czy nie bo jest w różnych kolorach? Zupełnie."
MZ,,,,No ale generalnie są atrakcje po kliknięciu w konkretny blok.
MZ,,,,Wracam.
MZ,,,,I mam jeszcze coś takiego jak tabela programowa.
MZ,,,,Tutaj wyświetla się plik w pdfie.
MZ,,,,Wygląda na skomplikowany.
MZ,,,,"Średnio czytelny, ale, ale nie przyglądałam się dokładnie, więc więc nie, nie Jestem w stanie dokładnie ocenić."
MZ,,,,Z powrotem i próbuje się zarejestrować. Klikam w rejestracja.
MZ,,,,O coś takiego tutaj chodzi.
MZ,,,,"Czy jakieś, czy coś wyjaśnić, a coś chce Pan zapytać?"
MZ_IT_05,,,,Nie chyba wszystko jest tak w miarę jasne. 
MZ,,,,"I woda, po to jakby Panu zaschło w gardle albo jakaś chwila przerwy. No to może pan swobodnie korzystać, tak jak mówiłam, jeśli uzna pan, że potrzebuje przerwę, wyjść na chwilę na korytarz, przewietrzyć się, do łazienki, gdziekolwiek no, to proszę zgłaszać, to będziemy robić przerwę."
MZ,__S00__,,,"Ok, to co zaczynamy?"
MZ,,,,To poproszę pana wyłączenie tej prezentacji. To.
MZ,,,,Dobra i tam u góry jest wizualizacja ta prezentacja.
MZ,,,,Dobrze i teraz tak pierwsze pytanie już poddaję.
MZ,,,,"To jest to złożone, proszę zapoznać się z listą pytań, za chwilę pan dostanie."
MZ,,,,"I na podstawie tych materiałów tej prezentacji, którą ma pan teraz przed sobą, proszę odpowiedzieć, udzielić odpowiedzi na odpowiedzieć na pytanie, czy na podstawie przygotowanych materiałów jest pan w stanie właśnie udzielić odpowiedzi na któreś z tych pytań z listy?"
MZ,,,,"Jeśli tak, to na które? No i jak brzmi odpowiedź i przypominam, nie oceniam pana kompetencji. Oceniamy użyteczność tych technik, tych wizualizacji, które ma pan tutaj."
MZ,,,,W prezentacji przygotowane.
MZ,,,,"Pan tutaj decyduje, w jakiej kolejności odpowiada, proszę tutaj ta lista."
MZ_IT_05,,,,Jest tego troszkę.
MZ_IT_05,,,,"I rozumiem, że to nie chodzi o samą odpowiedź na to, tylko jakby proces przejścia od prezentacji do odpowiedzi, żebym zwerbalizował."
MZ,,,,"Nie ujawnia pan gotowej odpowiedzi, tylko no wszystko, jakbym mógł pan mówić teraz, czyli na przykład, w którym slajdzie, na którym, pan patrzy, co tam widzi, przeczytać pytanie, tego typu rzeczy wszystko."
MZ,,,,"Może Pan też tam ma pan długopis, może pan sobie jakieś notatki robić na tym, jak będzie panu wygodnie tylko w miarę możliwości, jakby mógł pan właśnie opowiadać cały czas."
MZ_IT_05,__S4__,,,Więc mam pytanie do slajdu 4 rozkład?
MZ_IT_05,,__Q1__,,"Tak przedstawić, jak rozumiem rozkład sposobu przerastania blaszek, więc przejdę sobie od razu do slajdu 4."
MZ_IT_05,,,,"Widzę tutaj sporo, sporo wykresu."
MZ_IT_05,,,,Sposób przyrastania blaszek.
MZ_IT_05,,,,"I widzę, że jest tutaj?"
MZ_IT_05,,,,Wykres podpisano sposób przyrastania blaszek do trzonu.
MZ_IT_05,,,,Obstawiam że.
MZ_IT_05,,,,To jest po prostu ilość.
MZ_IT_05,,,,Instancji w data secie konkretnego sposobu.
MZ_IT_05,,,,"No i tak z własnego doświadczenia mogę już na powiedzieć, że to nie jest do końca."
MZ_IT_05,,,,Równo rozłożony.
MZ_IT_05,,,,Jest sporo braków danych.
MZ_IT_05,,,,"I szczerze mówiąc, nie wiem czy czy coś więcej można powiedzieć na tym na tym przykładzie."
MZ_IT_05,,,,Nie widzę nic też za bardzo na.
MZ_IT_05,__S3__,,,Na slajdzie 3 jest trochę tekstu.
MZ_IT_05,,,,Ale nic już tutaj się za bardzo do tego nie odnosi.
MZ_IT_05,__S5__,,,Slajd 5 też przedstawia rozkład cech jest tutaj pytanie odnośnie.
MZ_IT_05,,__Q2__,,Rozkładu cech dotyczących typu siedliska.
MZ_IT_05,,,,I jest tutaj faktycznie wykres pod tytułem siedlisko.
MZ_IT_05,,,,"I tu widać, że naprawdę spora większość jest usytuowana w lesie."
MZ_IT_05,,,,"Jakiś tam wycinek w trawie, a resztę tak naprawdę takie przypadki marginalne."
MZ_IT_05,,,,Czyli no w sumie.
MZ_IT_05,,,,"Spodziewane, ale jeszcze większość. Większość tych grzybów badanych była po prostu z lasu."
MZ_IT_05,__S6__,,,Kolejne pytanie jest do 6 do statystyk opisowych.
MZ_IT_05,,,,Tak.
MZ_IT_05,,,,"Te wykresy szczerze mówiąc, nie wiem, czy można by to jakoś zmienić, ale jest to strasznie dużo tych takich."
MZ_IT_05,,,,W.
MZ_IT_05,,,,"Po prostu długich tekstów i one są wszystkie w jednym kolorze i w momencie, w którym jest ich tu tak 9 zbite na jednym to to jest takie troszkę przytłaczające."
MZ_IT_05,,,,"Ale same w sobie pojedyncze wykresy są dosyć dosyć przejrzyste, w niektórych można by zmienić troszkę."
MZ_IT_05,,,,Może skale.
MZ_IT_05,,,,"Chociaż nie, bo tu jest brak danych, to nie."
MZ_IT_05,,,,Yy slajd 6 statystyki opisowe.
MZ_IT_05,,__Q3__,,Dlaczego w zbiorze brakuje niektórych danych? Z czego to wynika?
MZ_IT_05,,,,Tutaj z kolei sam tekst i trzeba by tutaj znaleźć.
MZ_IT_05,,,,Tak naprawdę. O co chodzi?
MZ_IT_05,,,,Brakujące dane.
MZ_IT_05,,,,"Tym hymenoforu  90. Szczerze mówiąc, nawet nie wiem co to jest hymenfor, więc tutaj się nie wypowiem."
MZ_IT_05,,,,"Kolor zarodników kolor znowu hymenoforu, podstawa trzonu."
MZ_IT_05,,,,"Powierzchnie trzonu, gęstość blaszek, powierzchnia kapelusza, sposób przyrastania blaszek do trzonu, typ pierścienia."
MZ_IT_05,,,,Z czego to może wynikać?
MZ_IT_05,,,,"Taki typ pierścienia, na przykład pewnie po prostu z faktu, że tego pierścienia może nie być albo coś takiego."
MZ_IT_05,,,,Ale.
MZ_IT_05,,,,"Taka na gęstość blaszek, bo może nie mieć po prostu blaszek."
MZ_IT_05,,,,"Ale taka powierzchnia trzonu na przykład albo podstawa trzonu, kolor zarodników to szczerze mówiąc, nie wiem dlaczego może ich brakować i to aż tyle bo to jest."
MZ_IT_05,,,,"Rzędu 85%, więc tego szczerze mówiąc, nie bardzo jestem w stanie zrozumieć, a nie ma tego, z czego wnioskować tutaj."
MZ_IT_05,__S7__,,,Slajd 7 rój pszczół.
MZ_IT_05,,,,"Wpływ poszczególnych cech owocnika na predykcje jego jadalne ności, jadalni jadalne "
MZ_IT_05,,__Q4__,,"czy na podstawie wykresu jesteś w stanie określić cechy, które najczęściej pojawiają się po jego prawej stronie i sugerują silny wpływ na klasyfikację grzyba jako niejadalnego, trującego?"
MZ_IT_05,,,,Punkty po prawej mają większy wpływ na klasyfikację grzyba przez model jako trującego po lewej jako jadalnego.
MZ_IT_05,,,,"Tutaj też na na slajdzie się dosyć dużo dzieje, a szczerze mówiąc z takim wykresem jeszcze."
