code,descriptive statistics,counterfactual analysis,anchor,LIME,waterfall,bee swarm,text slides,box plots,histograms,distribution of features,participant_id
expectations,0,0,0,0,1,1,0,0,0,0,DR_SSH_01
trust,0,0,0,0,2,1,0,0,0,0,DR_SSH_01
barriers,0,0,0,0,0,0,0,0,0,0,DR_SSH_01
barriers > concerns,0,0,0,0,0,0,0,0,0,0,DR_SSH_01
methods of analysis,0,0,0,0,0,0,0,0,0,1,DR_SSH_01
methods of analysis > example analysis,0,0,0,0,0,0,0,0,0,0,DR_SSH_01
methods of analysis > difficulties,1,3,1,0,0,0,0,2,2,1,DR_SSH_01
methods of analysis > discrepancies,0,1,1,1,0,0,0,0,0,0,DR_SSH_01
methods of analysis > thoroughness,0,0,0,0,0,0,0,0,0,2,DR_SSH_01
methods of analysis > reflection time,1,1,0,1,0,0,0,1,1,3,DR_SSH_01
methods of analysis > variability of decisions or evaluations,0,1,0,0,0,0,0,0,0,1,DR_SSH_01
personification,0,1,0,0,0,0,0,0,0,0,DR_SSH_01
metaphorization,0,0,0,0,0,0,0,0,0,0,DR_SSH_01
associations,0,1,0,1,0,0,0,0,0,1,DR_SSH_01
associations > image of a toadstool,0,0,0,0,1,0,0,0,0,0,DR_SSH_01
negative reception,1,1,0,0,0,0,0,0,0,0,DR_SSH_01
positive reception,0,0,0,0,0,0,1,0,0,0,DR_SSH_01
aesthetics,1,1,0,0,0,0,0,0,0,0,DR_SSH_01
aesthetics > font size,0,0,0,0,0,0,1,0,0,0,DR_SSH_01
aesthetics > layout,1,0,0,0,0,0,0,0,0,0,DR_SSH_01
aesthetics > colour scheme,0,1,0,1,1,0,1,0,0,0,DR_SSH_01
affects,0,0,0,0,0,0,0,0,0,0,DR_SSH_01
affects > nervousness,0,0,0,0,0,0,0,0,0,0,DR_SSH_01
affects > interest,0,0,0,0,0,0,0,0,0,0,DR_SSH_01
affects > reluctance,0,0,0,0,0,0,0,0,0,0,DR_SSH_01
