speaker_id,slide_id,question_id,problem_id,text
MK,,,,"Raz raz raz, mam nadzieję, że wszystko dobrze."
MK,,,,"Zatem wyłączymy transkrypcję, bo będzie potrzebna, dobrze?"
MK,,,,"Może pani się przesiąść już na swoje główne miejsce, tak jak mówiłam, komputer jest cały dla pani."
MK,,,,"Ja może wyłączę, zmniejszę Teamsy, na którym jest to nagrywane, bo nie będzie nam to potrzebne i już za chwileczkę powiem co i jak. Po pierwsze chcę poinformować panią, że absolutnie, to znaczy tak, to jest to po pierwsze kontynuacja ankiety, w której pani wzięła udziału. Celem naszym jest zbadanie technik użyteczności XAI, czyli sztucznej inteligencji za pomocą metody, narzędzia think-aloud-protocol."
MK,,,,"Czy pracowała kiedykolwiek pani z taką metodą think-aloud-protocol i wie, na czym ona polega?"
MK,,,,"Chodzi o to, że podczas realizacji jakiegoś działania będę panią prosiła o to wypowiadanie się przez cały czas na temat tego, co pani myśli i czuje w danym momencie. Można mówić wszystko, że tak powiem, zwłaszcza, że chodzi też o emocje różnego rodzaju, które są charakterystyczne przy takiej interakcji."
MK,,,,Człowiek-komputer i może dla przykładu spróbuję włączyć przykład takiej werbalizacji?
MK,,,,to będzie przykład
MK,,,,werbalizacji myślenia i odczuwania.
MK,,,,Już spróbuję włączyć to na komputerze.
MK,,,,"W każdym razie chodzi o to, że przez cały czas, cokolwiek pani robi komentuje pani niejako to co, co się dzieje, to, co pani robi, co pani o tym myśli, czy to się podoba, czy się nie podoba i w ten sposób właśnie będzie to wszystko wyglądało."
MK,,,,Spróbuję odtworzyć to nagranie.
MK,,,,To nie jest procedura.
MK,,,,"Wszystko będzie na luzie, że tak powiem."
MK,,,,"O K mam nadzieję, że tutaj przejdzie."
MK,,,,"Wracamy w takim razie i oprócz tego, że nagrywamy to cały czas, to właśnie stosujemy metodę think-aloud-protokol, a będzie pracowała pani na prezentacji w Power Point."
MK,,,,"Będzie Pani mogła z nią zrobić, co tylko będzie się pani oczywiście podobało."
MK,,,,Pokaże teraz jak to wygląda na podstawie takiej przykładowej prezentacji.
