speaker_id,slide_id,question_id,problem_id,text
DR,,,," Transkrypcja została włączona i ona sobie tutaj to spotkanie będzie sobie szło w tle ja z minimalizuję okno, żeby ono pani nie rozpraszało. Jednocześnie włączę tryb nagrywania w telefonie."
DR,,,, Tak mamy.
DR,,,," I zrobimy może w ten sposób, że ja panią  zaproszę tutaj na to stanowisko."
DR,,,, Około pani.
DR,,,, Wszystko jest w porządku.
DR,,,, Daję pani kod badania. badanie jest anonimizowane.
DR,,,, I teraz tak.
DR,,,," Zgodnie tutaj z zasadami z wytycznymi prowadzenia badań informuję panią, że nasze badanie jest zarejestrowane w trybie audio to badanie jest kontynuacją ankiety, którą pani wypełniała i będziemy panią badać za pomocą protokołu. To."
DR,,,," Czyli pięknie pani protokol, które polega na tym, że będziemy rejestrować to wszystko, co pani mówi podczas oglądania materiałów."
DR,,,,"  Bardzo proszę, żeby pani głośno mówiła o tym, co myśli, jakie ma odczucia i tak dalej i tak dalej. Na zakończenie otrzyma pani dodatkową ankietę do wypełnienia i będą tutaj także pytania do prezentacji właściwej ja, no to może przerzucę klucze i wyłączę drukarkę żeby ona nas nie rozpraszała bo czasem szumi."
DR,,,,  I.
DR,,,,  Pytania będą leżały cały czas przed Panią także do naszego badania będziemy wykorzystywać prezentację oraz pytania.
DR,,,,  Teraz tak rejestracja audio została uruchomiona przed panią mamy prezentację testową.
DR,,,,  będzie włączona preznetacja
DR,,,,  Jak pani może zobaczyć mamy tutaj slajdy i na samym końcu znajduje się slajd w kolorze czarnym.
DR,,,,"  On nam jest potrzebny do tego, żeby obdzielić treści, które są."
DR,,,,"  w tej Prezentacji od tych, które chciałaby pani na przykład wyrzucić, więc jeżeli w trakcie badania w trakcie oglądania tej właściwej prezentacji z wizualizacjami Wygenerowanymi przez sztuczną inteligencję."
DR,,,,"  Stwierdzi pani, że coś jest niepotrzebne. Wówczas przerzucamy dany slajd za ten Czarny, który się znajduje. Dodatkowo, jeżeli przyjdzie Pani  coś do głowy, na przykład jakieś treści na slajdzie są zbędne, albo chciałaby pani coś dodać poniżej slajdu mamy widok notatek tam gdzie jest ten napis włóczykj, tam możemy dodawać dokładnie taki sam tryb będzie uruchomiony w tej właściwej prezentacji do badań."
DR,,,,  i tak to będzie wyglądać
DR_IT_05,,,,", czyli wzięły nam zostanie z niego. Że jest zbędny"
DR,,,," Że jest zbędny, albo może Pani uznać, że coś trzeba na tym slajdzie poprawić, coś trzeba wypełnić i wówczas może pani korzystać z tego trybu notatek."
DR,,,,"  Dobrze zakładam, że zna Pani działanie programu Powerpoint. Poproszę zatem, żeby przerzuciła  pani jakieś wybrany slajd za ten Czarny."
DR,,,,"  Świetnie, bardzo proszę o zamknięcie, nie zapisywanie zmian."
DR,,,,  Świetnie I na 2 monitorze ma pani plik o nazwie Sample przykład na samym środku obok tego tak proszę sobie uruchomić.
DR,,,,"  Pol pokoju Konwentu, który odbył się w Warszawie i chciałabym zobaczyć sobie program i zarejestrować się."
DR,,,,  A więc w moim głównym?
DR,,,,  Pamiętam na program. Wiemy się.
DR,,,,  Mam bloki programowe.
DR,,,,  Witam.
DR,,,,  I tam  programowa.
DR,,,,  2.
DR,,,,"  Wymowa pamięć, nowe życie."
DR,,,,"  Warto, że są miejsca, w których praktyki odbywa, więc wydaje mi się, że jest to bardzo przydatna informacja."
DR,,,,"  Oprócz tego mogę wyliczyć, że z nimi w miejscu atrakcji."
DR,,,,  a gdzieś tu mam  przynajmniej gdzie indziej 
DR,,,,"  Imponował mi zostało nie przerywali, stanowi pełną stronie. Niebo jest wymiar honory zupełnie."
DR,,,,"  No, generalnie tam są atrakcje po kilku konkretnych bloków."
DR,,,,  Wracam.
DR,,,,  I mam niestety uznaje ustawa programowa.
DR,,,,  Lepiej 
DR,,,,  Wyglądam na skomplikowanie.
DR,,,,"  Masywnie czytelna, ale, ale nazywam się dokładnie z niezmiennym stanie dokładnie z opisem."
DR,,,,  Razem z tą robotę i próbuje się zarejestrować i tam w rejestracjach.
DR,,,,  tam rodzaj wyjątek.
DR,,,,   przykładowa tam rejstracja?
DR,,,,  rejestracja jest zamknięta.
DR,,,,  To było rok temu.
DR,,,,"  Możemy to zrobić do prywatnie wtedy, co wida."
DR,,,,  No i szkoda.
DR,,,,  Pogląd.
DR,,,,  Tak wygląda przykładowa werbalizacja
DR,,,,"  Ich dokładnie w takim samym trybie będziemy, będziemy realizować pani badanie, poproszę teraz o otwarcie właściwej prezentacji, czyli tak."
DR,,,,  Na tej prezentacji będziemy pracować w trakcie badania. Czy możemy?
DR,,,,  Rozpocząć tak dobrze?
DR,,,,"  Tak załóżmy, że."
DR,,,,  sekundka bo nie mam.tej kartki
DR,,,,  Jest .
DR,,,,  jest wszytko jest nic nie zgineło.
DR,__S00__,,,"  Załóżmy, że korzysta Pani z aplikacji, która ma ułatwiać odróżnianie grzybów jadalnych od niejadalnych, bądź też trujący i podpowiedzi tej aplikacji są wynikiem przetwarzania przez sztuczną inteligencję zbioru danych o grzybach. Zaraz zobaczy pani kilka wizualizacji, które objaśniają sposób działania modelu sztucznej inteligencji. Będę panią prosić o zinterpretowanie i oceny użyteczności tych objaśnień w trakcie odpowiadania. Bardzo proszę o głośne mówienie, co pani widzi myśli czuje, co się pani podoba, co się nie podoba?"
DR,,,,  Fragment przykładowej werbalizacji Pani słyszała. Widziała pani też prezentację testową?
DR,,,,"  Przypominam, że nie testujemy tutaj pani kompetencji, tylko użyteczność przygotowany wyjaśnień. Dlatego bardzo nam zależy na szczerych odpowiedziach. Dobrze, czy możemy zacząć? Świetnie. To bardzo proszę o głośne mówienie tego, co, pani robi. Nad czym się Pani zastanawia i tak dalej i tak dalej. Myszka jest do pani dyspozycji slajd i cała prezentacja jest do pani dyspozycji."
DR,,,,  To zależy od pani.
DR_IT_05,__S1__,,,"Na początku jest opisane w zasadzie, do czego służy badanie.mamy tutaj takie rzeczy , które miałabym oceniać."
DR_IT_05,__S2__,,,Tutaj
DR_IT_05,,,," mam opisany skąd pochodzi zbiór danych, na którym pracowały AI."
DR_IT_05,,,, No i jest napisane co z Uniwersytetu kalifornijskiego w.
DR_IT_05,,,, nie wymówię tej angielskiej nazwy.
DR_IT_05,,,," Wychodzi na to, że były dość specjalizował Uniwersytet. Który się specjalizuje w AI?"
DR_IT_05,__S3__,,,A no i dalej mamy.
DR_IT_05,,,," Napisane, że zbiór dalej jest dopiero informację o ponad 60000 owocników  i 173 gatunkach."
DR_IT_05,,,, Grzybów.
DR_IT_05,,,," I mamy napisane, że wszystkie są grzybami, kapeluszowymi i mają trzon i hymenofor, czyli pewnie nie będzie grzybów takich bardziej."
DR_IT_05,,,, Bardziej.
DR_IT_05,,,," Więc zbliżone do tego, co przy tym nie człowiek widzi. Wyobrażam sobie Grzyba."
DR_IT_05,,,, A.
DR_IT_05,,,, I coś tam jak jest polityczna jest sytuacją. 
DR_IT_05,__S4__,,,No i dalej mamy jakiś wykres.
DR_IT_05,,,, Na slajdzie numer 4
DR_IT_05,,,, tak i tutaj te wykresy.
DR_IT_05,,,," Z tego co widzę, opisują?"
DR_IT_05,,,, Jaka ilość.
DR_IT_05,,,, badanych grzybów ma jakąś cechę? Znaczy na przykład trochę ponad połowa była trująca tego typu rzeczy.
