speaker_id,slide_id,question_id,problem_id,text
DR,,,, Tak nagrywanie zostało rozpoczęte jeszcze tylko ustawię tutaj szybciutko nasz telefon i.
DR,,,," I możemy przystępować okno kim SA Zminimalizuje, żeby panu nie przeszkadzało?"
DR,,,, Poproszę pana w takim razie tutaj na to stanowisko.
DR,,,, Proszę.
DR,,,," Tak przyniosę wam jeszcze wodę także zanim zaczniemy, to to jeszcze momencik."
DR,,,," Śmiało, gdyby było za zimno, za to się po prostu mówić. Chodzi o pana."
DR,,,, I teraz tak.
DR,,,," Ma, załóżmy taką sytuację, że korzysta Pan z aplikacji, która ma ułatwiać."
DR,,,," Rozpoznawanie czy odróżnianie, że był jadalny pod niejadalnych, stojących i."
DR,,,, Podpowiedzi z tej aplikacji są wynikiem przetwarzania przez sztuczną inteligencję.
DR,,,, Zbioru danych o grzybach zaraz pan zobaczy kilka wizualizacji przygotowanych przez sztuczną inteligencję.
DR,,,, Które objaśniają sposób działania jej modelu i będę pana prosić o zinterpretowanie i oceny użyteczności tych wizualizacji.
DR,,,," I w trakcie odpowiadania. Bardzo proszę o głośne myślenie, głośne mówienie o tym, co pan myśli, co pan odczuwa i tak dalej i tak dalej."
DR,,,," To się panu podoba co się nie podoba? No tutaj mamy taką prezentację testową, która za prezent."
DR,,,," Jak będziemy pracować w tej prezentacji? Ważne są 2 rzeczy i w tej naszej właściwej prezentacji będą ważne 2 rzeczy. Pierwsza rzecz to jest widok notatek, który jest poniżej przesunę. Może panu kupiła, żeby nie przeszkadzało? Tam może pan nosić wszystkie swoje uwagi?"
DR,,,," Mamy on już jest uruchomiony tak także może pan wprowadzać dokładnie tak, może pan wprowadzać zmiany 2 ważna rzeczy w prezentacji to jest Czarny slajk za tym czarnym sladem."
DR,,,," Będzie pan umieszczał slajdy, które pana zdaniem są nieprzydatne, niepotrzebne, bezużyteczne, ale to zrobimy, to zrobimy troszkę później dla takiego zakładam, że pan zna działanie powerpoint, ale poprosiłabym o to, żeby pan wybrał jakiś slajk i usunął go za czarnym slajdy."
DR,,,, Oraz pocztek i kredkę też nie jest to tekst tekst lorem i zmienie obchodzi.
DR,,,," Bardzo dobrze, bardzo dziękuję, poproszę w takim razie o zamknięcie tego pliku bez zapisywania zmian."
DR,,,," Świetnie i teraz tak oto fragment Przykładowej Werbalizacji, żeby pan zobaczył, jak to będzie wyglądało i teraz mamy taki pierwszy plik na środku po lewej po prawej stronie nie tutaj."
DR,,,," Lewem o właśnie to proszę Kliknąć 2 razy i odsłuchać nagranie jak tam Panie Pol Pokoju Konwentu, który odbył się wypad sprawie i chciałabym zobaczyć sobie program i zarejestrować się."
DR,,,, Więc głównym.
DR,,,," Mają tam na program, rozwijamy się."
DR,,,," Razem z maksem, w którym, w którym się to odbywa."
DR,,,, Wygląda pani Iwona jest wyjście.
DR,,,," A turystycznym to się odbywa, więc wydaje mi się, że jest to bardzo przydatna informacja."
DR,,,, Oprócz tego noga wycieczkę z nimi w te atrakcji.
DR,,,, Obroty podpisujący konkretnie dla.
DR,,,, I wyświetla mi się to połączenie zaufane.
DR,,,, Zagrożenie lewej wyjątek.
DR,,,, Nie przywozem rejestrację.
DR,,,," Rejestracja jest już zamknięta do systematycznych, która to było rok temu."
DR,,,," Dobrze, może pan zamknąć się na ten plik i poproszę o fakcie właściwej prezentacji. Wizualizacje dokładnie dokładnie takiego wewnętrznego oczekujecie? Tak."
DR,,,, Badania może pan poprosić i?
DR,__S00__,,," Gdyby coś się działo i tak jedna ważna rzecz nie oceniamy pana kompetencji, naszym zadaniem jest ocena opracowanych przygotowanych wizualizacji dobra. Czy możemy zacząć? Super. Masze badanie będzie składało się z 3 części. Pierwsza część będzie taka najbardziej rozbudowana będzie obejmowała kilkanaście pytań. Będę prosiła o zapoznanie się z listą pytań, które tutaj będą też przed panem i czy na podstawie przygotowanych materiałów będzie pan w stanie udzielić odpowiedzi, na której z pytań? Jeśli tak, to na które pytania?"
DR,,,, Tutaj dla formalności zostawiam tą pierwszą część.
DR,,,, Tutaj będzie zestaw pytań dla Pana bardzo proszę w takim razie o przejście do prezentacji i o rozpoczęcie badania.
