__utt_id,__transcript_id,__participant_group,__participant_count,__row_in_file,speaker_id,slide_id,question_id,problem_id,text,text_en
DR_IT_05:1,DR_IT_05,IT,1,1,DR,,,," Transkrypcja została włączona i ona sobie tutaj to spotkanie będzie sobie szło w tle ja z minimalizuję okno, żeby ono pani nie rozpraszało. Jednocześnie włączę tryb nagrywania w telefonie.","The transcript has been turned on and she's going to have this meeting going on in the background and I'm going to minimize the window so it doesn't distract you. At the same time, I'll turn on the recording mode on the phone."
DR_IT_05:2,DR_IT_05,IT,1,2,DR,,,, Tak mamy.,That's what we've got.
DR_IT_05:3,DR_IT_05,IT,1,3,DR,,,," I zrobimy może w ten sposób, że ja panią  zaproszę tutaj na to stanowisko.",And we'll do it this way that I invite you here for this position.
DR_IT_05:4,DR_IT_05,IT,1,4,DR,,,, Około pani.,Around you.
DR_IT_05:5,DR_IT_05,IT,1,5,DR,,,, Wszystko jest w porządku.,It's all right. It's all right.
DR_IT_05:6,DR_IT_05,IT,1,6,DR,,,, Daję pani kod badania. badanie jest anonimizowane.,I'll give you the test code. the test is anonymised.
DR_IT_05:7,DR_IT_05,IT,1,7,DR,,,, I teraz tak.,And now it is.
DR_IT_05:8,DR_IT_05,IT,1,8,DR,,,," Zgodnie tutaj z zasadami z wytycznymi prowadzenia badań informuję panią, że nasze badanie jest zarejestrowane w trybie audio to badanie jest kontynuacją ankiety, którą pani wypełniała i będziemy panią badać za pomocą protokołu. To.","In accordance with the guidelines for conducting the survey here, I would like to inform you that our study is recorded in audio mode. This study is a continuation of the survey you completed, and we will study you using the protocol. This one."
DR_IT_05:9,DR_IT_05,IT,1,9,DR,,,," Czyli pięknie pani protokol, które polega na tym, że będziemy rejestrować to wszystko, co pani mówi podczas oglądania materiałów.","So you have a nice protocol, which is that we're going to record everything you say while you watch the footage."
DR_IT_05:10,DR_IT_05,IT,1,10,DR,,,,"  Bardzo proszę, żeby pani głośno mówiła o tym, co myśli, jakie ma odczucia i tak dalej i tak dalej. Na zakończenie otrzyma pani dodatkową ankietę do wypełnienia i będą tutaj także pytania do prezentacji właściwej ja, no to może przerzucę klucze i wyłączę drukarkę żeby ona nas nie rozpraszała bo czasem szumi.","I urge you to speak out loud about what you think, how you feel, and so on and so forth. And then you'll get an extra questionnaire to fill out, and there'll also be questions to present the right me, so maybe I'll put the keys over and turn off the printer so that it doesn't distract us because sometimes it makes noise."
DR_IT_05:11,DR_IT_05,IT,1,11,DR,,,,  I.,I. I.
DR_IT_05:12,DR_IT_05,IT,1,12,DR,,,,  Pytania będą leżały cały czas przed Panią także do naszego badania będziemy wykorzystywać prezentację oraz pytania.,"The questions will be in front of you all the time, and we'll use the presentation and the questions for our research."
DR_IT_05:13,DR_IT_05,IT,1,13,DR,,,,  Teraz tak rejestracja audio została uruchomiona przed panią mamy prezentację testową.,Now that the audio recording has been activated before you have a test presentation.
DR_IT_05:14,DR_IT_05,IT,1,14,DR,,,,  będzie włączona preznetacja,the projection shall be switched on
DR_IT_05:15,DR_IT_05,IT,1,15,DR,,,,  Jak pani może zobaczyć mamy tutaj slajdy i na samym końcu znajduje się slajd w kolorze czarnym.,"As you can see, we have a slide right here, and at the very end there's a slide in black."
DR_IT_05:16,DR_IT_05,IT,1,16,DR,,,,"  On nam jest potrzebny do tego, żeby obdzielić treści, które są.",We need it to deliver the content that is.
