__utt_id,participant_group,transcript_id,explanation_format,explanation_theme,is_explanation_slide,challenge_hits,incomprehension_hits,text_pl,text_en,context_pl,context_en
DR_IT_05:18,IT,DR_IT_05,context,,False,1,0,"  Stwierdzi pani, że coś jest niepotrzebne. Wówczas przerzucamy dany slajd za ten Czarny, który się znajduje. Dodatkowo, jeżeli przyjdzie Pani  coś do głowy, na przykład jakieś treści na slajdzie są zbędne, albo chciałaby pani coś dodać poniżej slajdu mamy widok notatek tam gdzie jest ten napis włóczykj, tam możemy dodawać dokładnie taki sam tryb będzie uruchomiony w tej właściwej prezentacji do badań.","You're going to say something's unnecessary. That's when we switch the slide over to the black one that's there. Additionally, if you come up with something, like some of the content on the slide is unnecessary, or you want to add something under the slide, we have a note view where that wire inscription is, we can add exactly the same mode that will run in that proper presentation for the research.","  On nam jest potrzebny do tego, żeby obdzielić treści, które są. ||   w tej Prezentacji od tych, które chciałaby pani na przykład wyrzucić, więc jeżeli w trakcie badania w trakcie oglądania tej właściwej prezentacji z wizualizacjami Wygenerowanymi przez sztuczną inteligencję. ||   Stwierdzi pani, że coś jest niepotrzebne. Wówczas przerzucamy dany slajd za ten Czarny, który się znajduje. Dodatkowo, jeżeli przyjdzie Pani  coś do głowy, na przykład jakieś treści na slajdzie są zbędne, albo chciałaby pani coś dodać poniżej slajdu mamy widok notatek tam gdzie jest ten napis włóczykj, tam możemy dodawać dokładnie taki sam tryb będzie uruchomiony w tej właściwej prezentacji do badań. ||   i tak to będzie wyglądać || , czyli wzięły nam zostanie z niego. Że jest zbędny","We need it to deliver the content that is. || in this presentation from the ones you'd like to throw out, for example, so if you're doing research while you're watching this proper presentation with the visuals generated by artificial intelligence. || You're going to say something's unnecessary. That's when we switch the slide over to the black one that's there. Additionally, if you come up with something, like some of the content on the slide is unnecessary, or you want to add something under the slide, we have a note view where that wire inscription is, we can add exactly the same mode that will run in that proper presentation for the research. || And that's what it's gonna look like. || Which means we've taken what's left of him. That it's unnecessary"
DR_IT_05:106,IT,DR_IT_05,Descriptive statistics,distribution of features,True,1,0,  Czyli nazwa słupków jest wątpliwa.,So the name of the columns is questionable.," A w mniejszych występuje nawet opisanych ścieżkach w jakichś miejscach z odpadami, również środowisku miejskiej miejskim, więc myślę, że to jest pełne i łatwe do odpytania. Może. ||  Oprócz tych nazw słupków bo nie do końca wiem co oznaczają, ale wykres jest dobrze zrobiony. ||   Czyli nazwa słupków jest wątpliwa. || Tak. ||   Dobrze czy jakieś uwagi ogólne do tego slajdu?","And smaller ones even have described trails in some waste areas, even urban urban environments, so I think it's full and easy to ask questions. I think so. || Besides the names of the columns because I don't quite know what they mean, but the chart is well done. || So the name of the columns is questionable. || Yeah, I know. I know. || Okay, any general comments on this slide?"
DR_IT_05:109,IT,DR_IT_05,Descriptive statistics,distribution of features,True,2,0," Szczerze chyba nie, może ten wykres (...) (...) jest troszkę dziwny, bo tutaj większości jest brak danych jest po prostu pokazane, że jakaś część jest bez (...). Nie ma żadnego alternatywnego typu. Więc tamten jeden wykres budzi wątpliwości, ale cała reszta jest dość mocno czytelna. No i jeszcze jest kwestia tego, że powierzchnia trzonu (...) zarodników, gdzie brak danych dobiera większość wykresów sprawia, że różnice pomiędzy tymi rzeczami, które są aktywnie stawiane, są dość małe i ciężko.","Honestly, I don't think so, but maybe this graph . . . . . is a little strange, because here most of the data is missing, it's just showing that some part is missing . . . There is no alternative type. So that one chart is questionable, but the rest is pretty hard to read. And then there's the fact that the surface area of the embryonic trunk, where the lack of data selects most of the graphs, makes the differences between the things that are actively placed quite small and hard.","Tak. ||   Dobrze czy jakieś uwagi ogólne do tego slajdu? ||  Szczerze chyba nie, może ten wykres (...) (...) jest troszkę dziwny, bo tutaj większości jest brak danych jest po prostu pokazane, że jakaś część jest bez (...). Nie ma żadnego alternatywnego typu. Więc tamten jeden wykres budzi wątpliwości, ale cała reszta jest dość mocno czytelna. No i jeszcze jest kwestia tego, że powierzchnia trzonu (...) zarodników, gdzie brak danych dobiera większość wykresów sprawia, że różnice pomiędzy tymi rzeczami, które są aktywnie stawiane, są dość małe i ciężko. ||  Odczytach ile faktycznie tutaj jest tych. ||   Dobrze, co pani sobie robi się teraz","Yeah, I know. I know. || Okay, any general comments on this slide? || Honestly, I don't think so, but maybe this graph . . . . . is a little strange, because here most of the data is missing, it's just showing that some part is missing . . . There is no alternative type. So that one chart is questionable, but the rest is pretty hard to read. And then there's the fact that the surface area of the embryonic trunk, where the lack of data selects most of the graphs, makes the differences between the things that are actively placed quite small and hard. || I'll read how many of these are actually here. || Okay, what are you doing now?"
DR_IT_05:145,IT,DR_IT_05,SHAP,bee swarm,True,1,0," Wybór na telewizję, Jestem w stanie wnioskować. Byłybyście Legenda, których chyba nie było widoczne w ankiecie.","Choice for television, I'm able to infer. You'd be a legend, which I don't think you'd see in the poll."," Starał silny wpływ na jego nieudolnego, odszedł. ||  To była ta wysokość trzonów w centymetrach, bo tutaj mamy wysoka wartość tej cechy, ale. ||  Wybór na telewizję, Jestem w stanie wnioskować. Byłybyście Legenda, których chyba nie było widoczne w ankiecie. ||  Czyli na przykład duża średnica kapelusza w centymetrach. ||  A.","He tried to make a strong impression on his loser, and he left. || That was the height of the beams in centimeters, because here we have a high value of this property, but. || Choice for television, I'm able to infer. You'd be a legend, which I don't think you'd see in the poll. || So, for example, a large diameter hat in centimeters. || Oh, my God."
DR_IT_05:182,IT,DR_IT_05,SHAP,waterfall,True,1,0, A raczej nie chce wstać z treścią. One są korzystne. Tak z tego punktu widzenia chodzi.,I don't think he wants to get up with the content. They're beneficial. That's the way it is from that point of view.," No też takiej wiedzy ogólnej, to dużo grzybów trujących jest takich właśnie węższych i wyższych, ale to tak bardziej. ||  na zasadzie skojarzenia. ||  A raczej nie chce wstać z treścią. One są korzystne. Tak z tego punktu widzenia chodzi. ||  To. ||  Jest tutaj nasza wartość dodana, o której wspomina, aby oznacza wspólną jest takie na predykcję toksyczności dla konkretnego owocnika, więc to dochodzi. To jeżeli ta wartość jest wyższa, to taka jest bardziej istotna. Najważniejsze wpływ na produkcję, czyli no to będzie dobrze. Czy możemy przejść do kolejnego konia? ","Well, according to general knowledge, a lot of poisonous fungi are narrower and higher, but more so. || It's based on association. || I don't think he wants to get up with the content. They're beneficial. That's the way it is from that point of view. || This one. || So here's our added value that we're talking about to mean common is to predict toxicity for a particular fruit, so that's what happens. So if this value is higher, it's more relevant. The most important impact on production, which means it's going to be good. Can we move on to the next horse?"
DR_IT_05:201,IT,DR_IT_05,SHAP,waterfall,True,1,0," Wydaje się, że te cechy procesu pokazał, jak oknach nie wpływają. Wcale nie są tym, co no ja zazwyczaj biorę pod uwagę, kiedy patrzę na na szyby, przede wszystkim na kolor, może na kształt sam sobie może na to, jak wygląda, wyglądają blaszki, wygląda, jak będą boli to wszystko, ale albo już mają na przykład taki kołnierzyk. Nic pewnego nazywa, ale raczej nie nie chodzę.","It seems that these features of the process showed how windows do not affect. They're not what I usually take into account when I look at the mirrors, especially the color, maybe the shape itself, maybe the way they look, the patches, the way they look, the way they're going to hurt, but maybe they already have a collar like that. He doesn't say anything, but I don't think I'm going.","To się pokrywa. Nie mam nic więcej do powiedzenia. ||  i ostatnie pytanie do tego wykresu czytać cechy, które według wykresu najsilniej wpływają na petycje odpowiadają pani wiedzy o grzybach? Czy jest pani w stanie ocenić to, co podpowiada model sztucznej inteligencji? Świetle własnej wiedzy i doświadczeń? ||  Wydaje się, że te cechy procesu pokazał, jak oknach nie wpływają. Wcale nie są tym, co no ja zazwyczaj biorę pod uwagę, kiedy patrzę na na szyby, przede wszystkim na kolor, może na kształt sam sobie może na to, jak wygląda, wyglądają blaszki, wygląda, jak będą boli to wszystko, ale albo już mają na przykład taki kołnierzyk. Nic pewnego nazywa, ale raczej nie nie chodzę. ||  I nie wiem, chyba w centymetrach, więc więc to jest zupełnie inny rodzaj. ||  Dlatego nie inny rodzaj?","It covers it up. I have nothing more to say. || And the last question for this chart is to read the characteristics that the chart says have the most impact on petitions. Does your knowledge of mushrooms correspond? Are you able to assess what the AI model suggests? The light of your own knowledge and experience? || It seems that these features of the process showed how windows do not affect. They're not what I usually take into account when I look at the mirrors, especially the color, maybe the shape itself, maybe the way they look, the patches, the way they look, the way they're going to hurt, but maybe they already have a collar like that. He doesn't say anything, but I don't think I'm going. || And I don't know, maybe in centimeters, so that's a whole different kind of thing. || That's why it's not a different kind?"
DR_IT_05:207,IT,DR_IT_05,SHAP,waterfall,True,1,0," Chyba nie stosuję. Ten bezpieczenie jest go losowanie, bo mi to dość mocno. Mama odpowiedziała, że można się faktycznie, oprócz jeżeli gdybyś jeżeli się byliśmy na przykład ruchomość sobotniego w ten sposób, ale znam ludzi, którzy tak robią, więc.","I don't think I use it. This security is drawing him out, 'cause it's pretty hard on me. Mom replied that you could actually, except if you were if we were for example moving Saturdays this way, but I know people who do that, so."," Jest takie to jednakowe, no chyba jeżeli jeżeli ma. ||  płaską tą i jeżeli położy się na końcówkę języka i jeżeli piecze to jest trujące, więc się go nie ma w ogóle czegoś takiego, więc na pewno. ||  Chyba nie stosuję. Ten bezpieczenie jest go losowanie, bo mi to dość mocno. Mama odpowiedziała, że można się faktycznie, oprócz jeżeli gdybyś jeżeli się byliśmy na przykład ruchomość sobotniego w ten sposób, ale znam ludzi, którzy tak robią, więc. || dokładnie. ||  Ok i tego nie mógł. Są bardzo ciekawych miejsc.","It's kind of the same, unless there is. || It's flat and if it's on the tip of the tongue and if the oven is poisonous, then there's no such thing at all, so for sure. || I don't think I use it. This security is drawing him out, 'cause it's pretty hard on me. Mom replied that you could actually, except if you were if we were for example moving Saturdays this way, but I know people who do that, so. || That's exactly what I'm talking about. || Okay, and he couldn't. It's a very interesting place."
DR_IT_05:242,IT,DR_IT_05,LIME,LIME,True,1,0," Zostanie stwierdzić, bo nie Jestem w stanie sobie przypomnieć właśnie takich średnic kapelusz, jak tylko poruszę to duże czy kapelusze są małe.","He'll say, 'cause I can't remember the exact diameter of a hat as soon as I move it's big or the hats are small."," Ciężko mi to stwierdzić o K? || Czy wyniki przedstawione na tym wykresie są zgodne z pani wiedzą o grzybach i doświadczeniem? ||  Zostanie stwierdzić, bo nie Jestem w stanie sobie przypomnieć właśnie takich średnic kapelusz, jak tylko poruszę to duże czy kapelusze są małe. ||  Po prostu nie Jestem w stanie sobie po prostu zwizualizować, nawet rozmiarowo i wygląda, że trujące słyszałam o tym o tym puszczaniu. Mleczka pracy na szkodzenia. ||  A.","That's hard for me to say about K? || Do the results presented in this chart match your knowledge and experience of mushrooms? || He'll say, 'cause I can't remember the exact diameter of a hat as soon as I move it's big or the hats are small. || I'm just not able to just visualize myself, even in size, and it looks like it's poisonous I've heard about this release. It's work milk for damage. || Oh, my God."
DR_IT_05:271,IT,DR_IT_05,Counterfactual,counterfactual analysis,True,1,0," Myślę, że nie Jestem w stanie stwierdzić tego fotografie. Wykresy te obawy, kresy.","I don't think I'm able to pinpoint that photograph. You're going to end those fears, you're going to end them."," Tak którym się wyda i pytanie było. ||  Zrobić takie zmiany, które mają największy wpływ na zmiany. ||  Myślę, że nie Jestem w stanie stwierdzić tego fotografie. Wykresy te obawy, kresy. ||  Z kanały na jedna na nielegalnej trujących to. ||  Nie mam czego porównywać.","That's the way it looks and that's the question. || Make the changes that have the greatest impact on change. || I don't think I'm able to pinpoint that photograph. You're going to end those fears, you're going to end them. || From channel to channel to illegal poisoning. || I don't have anything to compare."
DR_IT_05:295,IT,DR_IT_05,Counterfactual,counterfactual analysis,True,1,0,"No to w takim wypadku nie był tak jak to mówiłam raczej, że pewnie mają sens w kontekście biologicznej statystyki, ale nie mają sensu w kontekście tego, jak się to faktycznie patrzy. Mają przesyłać i próbują porównać jak to wygląda, że coś traci. Raczej nie chodzi się wynikom.","Well, in that case, it wasn't like I said, but rather, they probably make sense in the context of biological statistics, but they don't make sense in the context of how you actually look at it. They're supposed to transmit and they're trying to compare what it looks like to be missing something. I don't think it's about the results."," Przepraszam, jakie było pytanie 2? || Czy zmiany wartości przedstawione na wizualizacji mają sens w kontekście rzeczywistych właściwości grzybów i są zgodne z pani wiedzą o Grzybach?  || No to w takim wypadku nie był tak jak to mówiłam raczej, że pewnie mają sens w kontekście biologicznej statystyki, ale nie mają sensu w kontekście tego, jak się to faktycznie patrzy. Mają przesyłać i próbują porównać jak to wygląda, że coś traci. Raczej nie chodzi się wynikom. ||  A. || Przejdźmy do kolejnego pytania. To pytanie tylko na to poprzednie.","I'm sorry, what was question two? || Do the changes in values shown in the visualization make sense in the context of the actual properties of fungi and are they consistent with your knowledge of fungi? || Well, in that case, it wasn't like I said, but rather, they probably make sense in the context of biological statistics, but they don't make sense in the context of how you actually look at it. They're supposed to transmit and they're trying to compare what it looks like to be missing something. I don't think it's about the results. || Oh, my God. || Let's move on to the next question. That's just a question for the previous one."
DR_IT_05:311,IT,DR_IT_05,Descriptive statistics,histograms,True,1,0," Chociaż model jest bardzo dokładny, należy pamiętać o jego ograniczeniach. ","Although the model is very accurate, its limitations should be kept in mind.","Model skutecznie identyfikuje, czy dany grzyb jest jadalny czy niejadalny lub trujący, opierając się na analizie różnych cech owocnika.​ || Decyzje modelu opierają się wyłącznie na danych, które zostały mu dostarczone. Oznacza to, że model wykorzystuje dostępne informacje do wyciągania wniosków, ale nie posiada wiedzy poza zakresem tych danych.​ ||  Chociaż model jest bardzo dokładny, należy pamiętać o jego ograniczeniach.  ||  Ograniczenia modelu, żeby wysyłki. ||  Nie jest on w stanie uwzględnić wszystkich możliwych czynników wpływających na jadalność grzybów, które mogą być znane ekspertom. ","The model effectively identifies whether a given fungus is edible or inedible or poisonous by analysing the different characteristics of the fruit. || The model's decisions are based solely on the data provided to it. This means that the model uses the available information to draw conclusions, but has no knowledge outside the scope of that data. || Although the model is very accurate, its limitations should be kept in mind. || Restrictions on the model to ship. || It is unable to take into account all possible factors affecting the edibility of mushrooms that may be known to experts."
