speaker_id,slide_id,question_id,problem_id,text
PK,__S00__,,,"Rozpoczęłam nagrywanie, ale bez transkrypcji, zaraz zobaczę, czy dobrze. Rozpocznij transkrypcję, dobrze. W porządku, wszystko gra. Możemy zaczynać. Szanowni państwo, spójrzcie sobie na pierwszy slajd i powiedzcie, czy macie jakiekolwiek komentarze do niego, bo nasze badanie jest najprostsze na świecie oglądamy slajdy i państwo luźny strumień świadomości na bieżąco podają swoje spostrzeżenia uwagi, odczucia na temat tych slajdów."
PK_DE_11,__S1__,,,Slajd tekstowy. No no nie mamy. No to chodzi o ten tekst jest slajd pierwszy to jest sam tekst podzielony na akapity. Celem tego badania jest… Aha.
PK,,,,"Widzicie pierwszy? Tak, przeczytajcie, bardzo proszę. Jeżeli mielibyście jakiekolwiek uwagi, to po prostu je przedstawimy. A ja zmienię sposób siedzenia, bo mi będzie lepiej troszkę na podłodze."
PK_DE_11,__S1__,,,Na razie w ogóle tego nie rozumiem. O co chodzi? No… ale.
PK,,,,"Bardzo dobrze, bardzo dobrze, bo celem naszego badania nie jest ocena jakichkolwiek państwa kompetencji czy wiedzy, nas interesują wyłącznie reakcje profesjonalistów na to, co w tej prezentacji jest, to jest cała cały widz, nic więcej, więc na razie państwo nie mają żadnych spostrzeżeń. Pan__PK_DE_11__,mówi, że nie rozumie, tak?"
PK_DE_11,__S1__,,,"Znaczy no… drugi akapit to nie wiem, o co chodzi, nie. Tyle… no, interpretacja wykresów, które pokazują, w jaki sposób sztuczna inteligencja przewiduje, że grzyb dziko rosnący mający określone cechy jest albo jadalny, albo niejadalny lub trujący. Nie mam pojęcia, bo tych wykresów nie widziałem. Nie wiem, w jakich przestrzeniach będzie ten wykres, trójwymiarowych, dwuwymiarowych, o co chodzi? No to więc…"
PK,,,,"Zaraz je zobaczymy na kolejnych slajdach. Jeszcze tylko zapytam, czy pani__PK_DE_12__,ma jakieś uwagi, czy przechodzimy dalej?"
PK_DE_12,__S1__,,,"No ja się tylko jedynie domyślam, tak sobie myślę z tego tekstu, że będą jakieś grzyby, trzeba będzie określić coś tak, tak mi się nasuwa, ale tak to też za bardzo nie wiem, o co chodzi i tak próbuję sobie jakoś pomóc."
PK,,,,"Jasne. Wszystko jasne, to możemy przejść do slajdu 2. Ja te slajdy też mam oczywiście przed oczami, więc to jest wszystko identyczne, państwo widzą to, samo co ja."
PK_DE_11,,,,No.
PK,,,,Czy do slajdu 2 jakieś uwagi?
PK_DE_11,__S2__,,,"Nie, no, jest to informacja po prostu, no, taka, no i tyle."
PK,,,,"W porządku, a pani__PK_DE_12__,?"
PK_DE_12,__S2__,,,"Podobnie, tak."
PK,,,,Podziela pani?
PK_DE_12,__S2__,,,Tak.
PK,,,,"Świetnie, to chodźmy do slajdu 3. Jakieś reakcje?"
PK_DE_11,__S3__,,,Nie.
PK,,,,"Dobrze. Pani__PK_DE_12__,?"
PK_DE_12,__S3__,,,Podobnie.
PK,__S4__,__Q1__,,"Podobnie, no to teraz zaczynamy, przejdziemy do slajdu 4 i tu już są wizualizacje, wykresy i będę państwa bardzo prosiła o zinterpretowanie wykresu, który jest zatytułowany „sposób przyrastania blaszek do trzonu”. Co państwo mogą z tego wykresu wywnioskować?"
PK_DE_12,__S4__,,,"No, jest trzon jest, są blaszki, czyli hymenofor, i w jaki sposób one są do tego… ja to tak rozumiem, zakończenie: albo albo one są wykrojone, albo są rurki albo są blaszki, albo są faliste, jakiego kształtu są, tak ja to tak rozumiem. Albo brak."
PK,,,,"Oczywiście, a pan?"
PK_DE_11,__S4__,,,"No, tak samo."
PK,__S5__,__Q2__,,"Tak samo, super. Albo brak. Fantastycznie, to przechodzimy do 5 slajdu. Szanowni państwo, slajd 5. I tutaj bardzo was proszę o to samo, tylko spójrzmy na wykres zatytułowany „Siedlisko” i gdyby mi państwo powiedzieli, co z tego slajdu wyczytują, jak go interpretują, co to na nim w ogóle jest?"
PK_DE_11,__S5__,,,"To jest... mi się wydaje, że spośród wszystkich grzybów, które zostały przeanalizowane przez sztuczną inteligencję, najwięcej zostało sklasyfikowane grzybów, których siedliskiem są lasy, tak."
PK,,,,"Jasne. Pani__PK_DE_12__, proszę zabierać głos, kiedy tylko pani chce."
PK_DE_12,__S5__,,,"To podobnie, różne rodzaje siedlisk, gdzie były sklasyfikowane te grzyby, czyli najwięcej w lasach, potem na trawach, potem w liściach, łąkach, wrzosowiskach."
