speaker_id,slide_id,question_id,problem_id,text
MZ,,,,Ok.
MZ,,,,"Już nam się zaczęło nagrywanie. Jeszcze na wszelki wypadek mamy dyktafon, bo z Teamsem różnie bywa, więc."
MZ,,,,Na wszelki wypadek niech gdzieś tutaj jeszcze nam się nagrywa w ten sposób.
MZ,,,,To nagranie będzie zabezpieczone.
MZ,,,,"Ok, czyli jesteśmy"
MZ,,,,Po wstępnym omówieniu przebiegu badania.
MZ,,,,"Zminimalizuję nam tego Teamsa, żeby nas nie rozpraszało. Badanie będzie za pomocą techniki think aloud protocol, czyli będę pana prosić o to, żeby w trakcie wykonywania pewnych zadań."
MZ,,,,"Mówił pan cały czas co myśli, co widzi, co robi. Chodzi o werbalizację pana myśli i ponieważ to może być obciążający proces, tutaj jest dla pana woda, więc proszę śmiało korzystać z tego."
MZ,,,,"Będę panu też co jakiś czas przypominać. Proszę się nie wystraszyć, gdyby na przykład."
MZ,,,,"Gdyby była jakaś dłuższa chwila ciszy, to będę pytać w sposób mam nadzieję neutralny, co pan robi? Co Pan myśli? Coś w tym stylu, że panu przypomnieć."
MZ,,,,I co.
MZ,,,,"No i tak mówiłam, może pan się w każdej chwili wycofać."
MZ,,,,"Możemy zrobić przerwę w każdej chwili, no i badamy tutaj użyteczność tych technik, a nie pana kompetencji.  Teraz tak, jakie będziemy stosować materiały w tym wywiadzie - będzie prezentacja w Power Poincie, z którą będzie Pan mógł wykonywać pewne rzeczy. Najpierw na podstawie tej prezentacji będzie pan odpowiadał na pewne pytania, a później będzie pan mógł zmienić na przykład kolejność scen."
MZ,,,,"Albo dodać coś, co Pan uzna, żeby się tam przydało bądź usunąć, zmodyfikować, tego typu rzeczy. Tutaj mamy testową prezentację."
MZ_SSH_02,,,,Ok.
MZ,,,,"Tu jest na dole, pole notatek też może pan wykorzystywać to miejsce, żeby wprowadzać jakieś swoje uwagi, czyli zarówno może pan powiedzieć."
MZ,,,,"Co, co myśli o jakimś slajdzie, o jakimś objaśnieniu, które będzie widoczne, jak i może pan coś tutaj zanotować."
MZ,,,,Na pewno pan.
MZ,,,,"Zna się na tym, ale tak pro forma, jakby mógł pan zmienić jakąś kolejność tych slajdów tutaj na tej testowej prezentacji."
MZ,,,,Dobra.
MZ,,,,"Tam jeszcze czarny slajd. Oznacza koniec i teraz tak, jak pan uzna, że jakieś materiały będą niepotrzebne pana zdaniem, całkowicie bezużyteczne, takie, że na przykład nie widzi pan możliwości poprawy."
MZ,,,,"Tego materiału, albo może w ogóle się nie przydaje, to poproszę pana, żeby przeniósł pan takie materiały za tym czarny slajd."
MZ,,,,"Czyli na przykład jak ma pan tego kota. Załóżmy, że on jest niepotrzebny tutaj. Proszę go tam przenieść."
MZ,,,,"Super, o to tutaj chodzi, czyli będzie mógł pan zmieniać kolejność slajdów w takiej kolejności, którą uzna pan, że będzie dla pana najbardziej użyteczna. Będzie mógł pan dodawać jakieś slajdy tutaj, jeśli uzna pan, że jest taka konieczność."
MZ,,,,"Może pan wykorzystywać pole notatek, no jak coś będzie całkiem pana zdaniem nieprzydatne, to za czarny slajd dać."
MZ,,,,"Dobra, to to możemy zminimalizować?"
MZ,,,,Będzie niepotrzebne.
MZ,,,,Oprócz tego.
MZ,,,,"Ja mam listę pytań, ale cały czas."
MZ,,,,Aktualne pytanie będzie przed panem.
MZ,,,,Żeby.
MZ,,,,"Może mnie pan pytać cały czas, gdzie jesteśmy z pytaniem, ale."
MZ,,,,Jako pomoc będzie miał pan pytanie przed sobą.
MZ,,,,Czyli mamy prezentację i tą listę pytań.
MZ_SSH_02,,,,Teraz tak.
MZ,,,,Jeśli chodzi o think aloud protocol.
MZ,,,,"Załóżmy sobie, że mamy taką sytuację."
MZ,,,,"Odczytam tutaj z kartki, żeby."
MZ,,,,"Wiedzieć, że to wszystko tak się przygotowaliśmy, jest zrobione. Proszę sobie wyobrazić, korzysta Pan z aplikacji, która ułatwia odróżnianie tych grzybów trujących, niejadalnych od jadalnych."
MZ,,,,I podpowiedzi tej aplikacji są wynikiem przetwarzania przez sztuczną inteligencję zbioru danych.
