speaker_id,slide_id,question_id,problem_id,text
MW,,,,Będziemy pracować metodą think-aloud-protocol. Czy z takim sposobem badania się pan kiedyś spotkał?
MW_SSH_04,,,,"Chyba tak. Nie mam pewności, ale raczej tak."
MW,,,,"Polega to z grubsza na tym, że będę pana zachęcać do tego, żeby w trakcie oglądania materiałów, nad którymi będziemy pracować, głośno myśleć. Żebyśmy trochę mieli taki obraz tego, jak to wygląda, to można sobie otworzyć ten folder, który się znajduje w prawym górnym rogu, nazywa się test, ten poniżej. I tu są dwa pliki. Pierwszy to jest taka standardowa prezentacja multimedialna w PowerPoint. I jeśli z takimi prezentacjami by pan nie miał do czynienia, to można sobie teraz na niej poćwiczyć. Operacje takie jak dodawanie slajdów, usuwanie slajdów, zmienianie kolejności slajdów, dodawanie jakichś komentarzy. Myślę, że to z racji studiów także jest zrozumiałe, ale gdyby trzeba było, to tutaj jest prezentacja, na której można sobie poćwiczyć. Drugi to jest taki plik dźwiękowy, który zawiera fragment sesji takiej podobnej do naszej, gdzie ktoś właśnie werbalizuje swoje różnego rodzaju odczucia. Można sobie taki fragment albo całość tego nagrania odsłuchać, żeby wiedzieć o co mniej więcej chodzi. Tu jest prezentacja, taka przykładowa, to manipulację slajdami można sobie tutaj gdzieś poćwiczyć. A z kolei nagranie dźwiękowe można sobie odsłuchać po to, żeby zobaczyć, w jaki sposób właśnie taki proces werbalizacji się zwykle odbywa. Tyle pan odsłuchuje, ile potrzebuje."
MW_SSH_04,,,,[odsłuchanie nagrania]. To jest tylko (ns - 00:03:23).
MW,,,,"Dokładnie. To są tylko materiały takie testowe, żebyśmy wiedzieli czego się spodziewać. Można już sobie ten folder zamknąć i teraz można wejść do tego folderu pierwszego z badaniami. Tu nas interesuje plik z prezentacją multimedialną. To jest ten od góry licząc trzeci. I to już jest właśnie materiał, na którym będziemy dzisiaj pracować. "
MW,__S00__,,,"Chciałabym najpierw, żeby spróbował się pan tak luźno z tą prezentacją zapoznać. Przejrzeć sobie mniej więcej, czego się tu można spodziewać. I gdyby się pan podzielił wszelkimi swoimi odczuciami dotyczącymi pierwszych wrażeń. Czego ta prezentacja dotyczy, jakie sprawia wrażenie, przyjazne, nieprzyjazne, neutralne. Z takiego pierwszego oglądu, a później przejdziemy sobie już do kolejnych ćwiczeń. Jakie są takie pierwsze wrażenia z tej prezentacji?"
MW_SSH_04,,,,"Czysto informujące. Prosta raczej w swojej budowie, jakby nie mająca na celu jakby rozpraszać odbierającego, tylko przekazać informacje, które są."
MW,,,,"Czy widać tak na pierwszy rzut oka, czego ta prezentacja mniej więcej dotyczy? Albo jakiego typu wizualizacje się tu znajdują?"
MW_SSH_04,,,,"Wizualizacje jak na razie słupkowe typowe. Uznawane za najbardziej czytelne dla odbiorcy. Kolorystyka jest prosta tak naprawdę, żeby… też przez to zrozumiała. A prezentacja dotyczy wizualizacji grzybów oraz poprzez grzyby, ale też objaśnialnej sztucznej inteligencji."
MW,,,,Czy z tym terminem się pan wcześniej spotkał czy nie?
MW_SSH_04,,,,"Nie spotkałem się wcześniej, przed tym badaniem nie spotkałem się."
MW,,,,"Czy z takimi typami wizualizacji się pan kiedyś spotkał? Jesteśmy tutaj za tymi wykresami, takimi pierwszymi?"
MW_SSH_04,,,,"Nie, to też po raz pierwszy. Może kojarzy mi się jakby z rachunkiem, szczerze powiedziawszy, albo z jakimiś przyrostami danych także."
MW,,,,"Czy te pozostałe typy wizualizacji, oprócz tego, że je pan widział w ankiecie niektóre z nich?"
MW_SSH_04,,,,"Te widziałem w ankiecie, ale taką też sam tworzyłem na zajęciach."
MW,,,,Na zajęciach? W którym swoim kierunku studiów?
MW_SSH_04,,,,Na (anonimizacja)
MW,,,,Czy takie wizualizacje typu wodospad kiedyś pan widział?
MW_SSH_04,,,,"Nie widziałem tego typu. Takie widziałem. Są też dosyć często pojawiające się, pokazujące jakby różnice w znaczeniu tego punktu właśnie zero, uśredniającego."
MW,,,,Tu się jeszcze poszczególnym slajdom będziemy przyglądać bardziej w detalach. Na razie tak sobie przejrzymy tylko luźno. Czy z taką wizualizacją typu kotwica kiedyś się pan spotkał?
MW_SSH_04,,,,"Nie, po raz pierwszy. Nie wiedziałem, że to wizualizacja na pierwszy rzut oka."
MW,,,,"I dotarliśmy do ostatniego slajdu, czyli wie pan już mniej więcej czego się w tej prezentacji spodziewać. Możemy sobie wrócić do początku. I teraz, jakby się pan chciał zapoznać właśnie z tymi slajdami, takimi z wyjaśnieniem na początku. Czy to jest zrozumiała informacja? Wiemy czego to badanie dotyczy? Jakieś słowa są niezrozumiałe?"
MW_SSH_04,,,,Wszystkie są zrozumiałe.
MW,__S1__,,,To można sobie przejść dalej.
MW_SSH_04,,,,"Tylko jakby do jednego, w którym dokładność i wierogodność, jakby w przypadku odróżnienia grzybów jadalnych od trujących, to jakby kwestia jest tego, że wysoka wiarygodność i predykcja i wysoka precyzja w tym przypadku jest potrzebna, ale to też się działo na przestrzeni dziejów, tak naprawdę na zasadzie prób i błędów, że ludzie umierali potem i ktoś spisał tę tzw. książkę kucharską tych grzybów. Ale teraz za pomocą tej naszej wiedzy mamy lepsze możliwości do tego."
MW,__S2__,,,"Czy te informacje dotyczące pochodzenia właśnie tego zbioru danych, skąd on się wziął, co zawiera dokładnie?"
MW_SSH_04,,,,"Tak, ale nie zdaję sobie sprawy z różnic pomiędzy owocnikami, a gatunkami grzybów. Zastanawiam się, czemu jest tyle owocników do gatunków. Tego nie wiem po prostu."
MW,__S3__,,,"Czy to, co jest tutaj pogrubioną czcionką, jest jakąś taką informacją istotną?"
MW_SSH_04,,,,"Istotną, jak najbardziej istotną, ponieważ nie mówimy tylko o grzybach z trzonem i kapeluszem. Czyli nie mówimy o grzybach pleśni, która tych nie posiada, albo o grzybach jakichś, jak często są w pomieszczeniach."
MW,,,,"A to słowo hymenofor, które się tu pojawia chyba po raz pierwszy, czy z nim się pan kiedyś spotkał?"
MW_SSH_04,,,,"Nie spotkałem się, ale poprzez dodanie blaszkowe podejrzewam, że chodzi o tą strukturę pod kapeluszem."
MW,,,,Jak pan rozumie te dane symulacyjne?
MW_SSH_04,,,,"Jako sztuczne, jako dane spredykowane, które niekoniecznie mają odzwierciedlenie w rzeczywistości, ale na podstawie, jak tu jest dalej, sztucznie wygenerowane na podstawie mniejszego zbioru rzeczywistych danych, czyli tak jak działa machine learning, czyli po prostu jakby na zasadzie dużej ilości danych, które mu się daje, jest w stanie przewidywać jakby inne wyniki. Im więcej tych danych, tym lepszą ma predykcję."
MW,__S4__,,,To możemy sobie przejść do tego pierwszego zestawu wizualizacji.
MW_SSH_04,,,,No i tu mamy dziewięć wykresów.
MW,,,,"Czy to jest dużo, mało odpowiednio jak na jeden slajd?"
MW_SSH_04,,,,"Dużo. Zdecydowanie dużo, ale to są jakby opisujące podobną rzecz, więc poszczególne kategorie, więc one powinny być w jednym miejscu także. Ale ogólnie to jest dużo do przejrzenia na jeden moment."
MW,,,,"Czego te dane dotyczą? Czy jesteśmy w stanie jakoś tak łatwo się zorientować, odczytać te wykresy?"
MW_SSH_04,,,,"Kategorii w jaki sposób, cech grzybów. Z podziału na trujące, jadalne, na kształt kapelusza, powierzchnię kapelusza także."
MW,,__Q1__,,"Byłby pan w stanie przedstawić, jak rozumie rozkład cech dotyczących sposobu przyrastania blaszek?"
