"code","memo"
"expectations","expectation that it will be understood, that it will be consistent with the knowledge of mushrooms"
"expectations > biotope","expectation that AI results would be based on significant biotope features of fungi"
"expectations > dataset","expectation that dataset would be compiled, organised, revised and annotated in a certain fashion, avoiding cardinal errors  "
"expectations > macroscopic features","expectation that AI results would be based on significant morphological features of fungi"
"expectations > organoleptic features","expectation that AI results would be based on significant organoleptic features of fungi"
"expectations > user-centred approach","expectation that XAI explanations and potential would be tailored for the needs of every target group of users, especially laymen in mycology & amateurs  "
"trust","confidence in results, in AI"
"barriers","linguistic, technical, affective and other"
"barriers > concerns","who would be responsible for possible errors induced by AI model or for the consequences of its misuse?"
"methods of analysis","ways of evaluating, analysing content, visualisations, infographics, action paths, jumping from one slide to another, going back to previous charts, information"
"methods of analysis > ai hypotheses","suppositions on how AI model could have processed and generated visual results "
"methods of analysis > identification practice","interpreting visualisations through the lens of respondentâ€™s own practice of fungi identification        "
"methods of analysis > omission","omitting proper chart analysis and replacing it by explanations grounded in the domain knowledge only"
"methods of analysis > taxons","interpreting visualisations through the lens of taxonomic features of fungi        "
"methods of analysis > example analysis","difficulty in defining and understanding"
"methods of analysis > difficulties","e.g. discrepancies between length of bars and value given in LIME; in counterfactual analysis there is an inconsistency between analysis and description â€“ one has the primal value and the other the original value (MZ_06)"
"methods of analysis > discrepancies","extracts on decision-making for three examples"
"methods of analysis > thoroughness","prolonged thinking or moving quickly from one slide to another, jumping from one graph to another while trying to answer questions"
"methods of analysis > reflection time","curiosity, meticulousness in analysing resources, information, thorough analysis of charts"
"methods of analysis > variability of decisions or evaluations","e.g. initial impression was <such>, after time and having seen some other material the respondent changes opinion/decision"
"personification","attributing human characteristics to AI in respondents' statements, this includes situations where respondents refer to AI in a way typical of human interactions—for example, suggesting that ""AI suggests,"" ""AI might be right,"" or stating, ""I won’t listen to him."", it may also include the use of personal pronouns and attributing intentions, opinions, or decision-making abilities to AI"
"metaphorization","understanding of metaphor, e.g. anchor, waterfall"
"associations","any comparisons and associations"
"associations > apps","comparisons to well-known applications, this includes excerpts where respondents refer to popular digital tools such as Canva or ChatGPT to explain or evaluate the AI system"
"associations > fungi guides","applications for fungal recognition  "
"associations > image of a toadstool","associations with the toadstool as an icon of a poisonous mushroom, this includes statements where respondents associate the image of a poisonous mushroom with the characteristic appearance of a toadstool—a broad cap (often described as red with white spots) and a tall, slender stem, this may stem from the widespread cultural depiction of the toadstool as a symbol of toxic fungi"
"associations > taxonomic keys","associations with taxonomic keys for species classification"
"negative reception","general negative experience with explanations, the way explanations are presented or AI in general"
"positive reception","general positive experience with explanations, the way explanations are presented or AI in general"
"aesthetics","overarching, general code for the labelling of aesthetic extracts"
"aesthetics > font size","comments on font size, this includes statements where respondents refer to the text size on the screen, such as mentioning that the font is too small, difficult to read, or requires them to move closer to the screen for better visibility, it may indicate issues with readability and user comfort"
"aesthetics > layout","comments on the structure (information) of the slides"
"aesthetics > colour scheme","comments on the colour scheme of the slides; this includes respondents' statements about the colours used in the presentation, such as their contrast, readability, aesthetics, or overall visual appeal, it may refer to both positive and negative opinions on colour choices and their impact on content perception"
"affects","emotional factors, this includes statements and observations related to respondents' emotions while analyzing the materials, it may refer to various emotional states, such as interest, frustration, surprise, fatigue, uncertainty, or reluctance, the code covers both direct declarations from participants and emotions observed by the researcher"
"affects > nervousness","declaration of nervousness (about the test or other situations), observation by the investigator of signs of nervousness of the subject"
"affects > interest","declaration of interest, observation by the researcher of signs of interest in the respondent; may also mean lack of interest, average interest or neutrality in relation to the resources analysed"
"affects > reluctance","negative perception, declaration of unwillingness to reach for something, to pursue something, to read information"
"affects > overwhelming","general code related to feeling overwhelmed and cognitively overloaded"
"affects > overwhelming > uncertainty","emotional reaction to uncertainty and doubt, this includes excerpts where respondents express feelings of uncertainty, lack of knowledge, or doubts regarding the analyzed content"
"affects > overwhelming > confusion","lost, unsure"
"affects > overwhelming > tiredness","declaration of fatigue (from the examination or other situations), request for a break in the examination, observation by the investigator of signs of fatigue in the subject"
"affects > surprise","astonishment"
"slides","an overarching code to label the slides on which the various explanations of the AI model and its predictions were presented"
"slides > descriptive statistics","comments on descriptive statistics slides"
"slides > counterfactual analysis","comments on slides with examples of counterfactual analysis"
"slides > anchor","comments on slides with examples of anchor explanations (static version)"
"slides > lime","comments on the slides with LIME explanation"
"slides > waterfall","comments on the slides with waterfall explanation"
"slides > bee swarm","comments on the slides with bee swarm explanation"
"slides > text slides","comments on slides containing only textual explanations"
"slides > box plots","comments on slides with box plots"
"slides > histograms","comments on slides with histograms"
"slides > distribution of features","comments on the slides with graphs of the distribution of individual features"
"knowledge and experience","general code related to respondents' knowledge and experience, this includes excerpts where respondents refer to their own knowledge, skills, or prior experiences in various areas relevant to the analysis, it may include both formal education and practical competencies acquired through personal or professional experience, this code serves as an overarching category, further divided into more specific subcodes covering particular domains of expertise"
