speaker_id,slide_id,question_id,problem_id,text
MK,,,,"Bo to jest dla mnie już mówię wszystko, co będzie rozpocznij nagrywanie."
MK,,,,"W takim razie po wszystkich zgodach, zaczynamy nasze badanie. To jest kontynuacja, tak jak mówiłam, ankiety, którą pan wypełniał, natomiast badanie dotyczy użyteczności technik wyjaśniania sztucznej inteligencji w oparciu o narzędzia think-aloud-protocol, które wymaga po pierwsze rejestracji audio i to jest metoda polegająca na tym, że w trakcie robienia realizacji różnego rodzaju zadań, odpowiadania na pytania, czy też przeglądania różnego rodzaju rzeczy, mówi pan na głos, co myśli, co czuje, co uważa, czy też wszelkie informacje, jakie tylko panu przychodzą do głowy i które  będą przekazywane ustnie."
MK,,,,"Mamy sporo czasu, póki co nie będę absolutnie narzucała tego czasu, żeby nie zaburzać naszego badania. W każdej chwili może pan poprosić o przerwę. W każdej chwili może pan zrezygnować też z tego badania, także nie ma problemu."
MK,,,,"I dostanie pan, to znaczy tak, będziemy korzystać z prezentacji, gdzie będą pokazane wizualizacje, infografiki i będę pana prosiła o odpowiedzi na poszczególne pytania odnoszące się do poszczególnych wizualizacji, czy też diagramów i potem na koniec będzie też czekały na pana pytania. Te pytania będą cały czas dostępne, będąc obok pana i jeśli mowa o think-aloud-protocol, to tu mam przykład takiej werbalizacji."
MK,,,,"Wie pan, mniej więcej na czym to będzie polegało? Równocześnie będziemy korzystać z prezentacji i teraz pokażę przykład. To jest tylko próbna prezentacja, więc te zwierzątka są tylko i wyłącznie na wizualizacji testowej. Będzie pan miał prezentację w Power point. Będzie sobie pan mógł robić dowolne notatki, bo będzie możliwość robienia notatek. Będzie pan mógł ją przeglądać w dowolnej kolejności. Będzie pan mógł wracać do niektórych elementów i teraz tak, ten czarny element. To jest taki element, który mówi nam o tym, że ta prezentacja ma swój koniec. Potem poproszę pana o pewnego rodzaju zabawę w układankę. Zrobimy sobie puzzle w zależności od tego, jak pan uzna w jaki sposób ta prezentacja, którą pan będzie oglądał, ta rzeczywista, właściwa prezentacja będzie wyglądała. Poproszę o sprawdzenie, o zasugerowanie pewnych rzeczy i cokolwiek uzna pan za niewłaściwe, nie pasujące do reszty coś, co będzie zbędne, będę prosiła o przesunięcie właśnie za tą czarny slajd, bo on będzie oznaczał właśnie te elementy, które wyrzucamy."
MK,,,,"Jeśli będzie cokolwiek, co będzie chciał pan dodać, bo będzie to dla pana miało ogromne znaczenie, żeby lepiej zrozumieć pewne rzeczy, żeby wyjaśnić pewne rzeczy, to też będę pana prosiła nie tylko o zanotowanie, ale będzie można dołożyć dowolny slajd do prezentacji. Możemy zrobić próbę, ale myślę, że pan w PowerPoint pracował, więc nie będzie z tym żadnego problemu Myszkę mamy podpiętą na wszelki wypadek. Oczywiście, jeśli pan woli korzystać z komputera bez myszki, to też jest taka możliwość. To uzależnione jest od preferencji, prawda? Przypominam, aby komentował Pan, mówił na bieżąco, wszystkie informacje, czy one są przede wszystkim zrozumiałe. Chodzi nam o to, że sprawdzamy użyteczność technik objaśniania, natomiast absolutnie nie sprawdzamy pana, ani pana kompetencji, ani pana umiejętności. Chodzi nam tylko o to, żeby sprawdzić, czy to, co będzie wytworzone w formie aplikacji sztucznej inteligencji, będzie zrozumiałe dla użytkownika. Czy te wizualizacje, czy te diagramy, które są przekształcone właśnie przez sztuczną inteligencję, są w jakikolwiek sposób użyteczny."
MK,,,,"Zatem, jeśli pan uznał, że coś jest niezrozumiałe, jeśli coś jest niewłaściwe, jeśli estetyka nie odpowiada panu, proszę głośno o tym powiedzieć. Oczywiście będę właśnie prosiła również o informacje o pozytywach, więc nie skupiamy się absolutnie na brakach, negatywnych elementach, tylko na wszystkim, co panu przychodzi do głowy. Jeśli się coś podoba, to oczywiście też trzeba mówić, bo badamy i pana myśli, i pana emocje, tak naprawdę i działania, które pan też wykonuje, bo wszystko to, co pan będzie robił na tą prezentacją i z tymi z tymi danymi będzie się za pomocą think-aloud-protocol zapisywać, nagrywać. "
MK,__S00__,,,"To w takim razie, jeśli jest pan gotowy, zamykam ten plik testowy. To będzie ten plik właściwy. Bardzo proszę na spokojnie, żeby pan zapoznał się ewentualnie na początek z tą prezentacją. Wszystko to, co pan będzie robił. Bardzo proszę, żeby pan już zaczął komentować, a to są pytania do poszczególnych slajdów, które pan będzie przeglądał i będę prosiła pana o odpowiedzi na te poszczególne pytania, które pan tutaj widzi, ma pan je przed sobą, cały czas może pan z nich korzystać. Gdyby pan milczał za długo, to proszę się nie przestraszyć. Ja będę pytała o różnego rodzaju rzeczy odnoszące się do tego, o czym Pan myśli."
MK_IT_03,,,,Dobrze.
MK_IT_03,,,,To mam przed sobą prezentację dotyczącą.
MK_IT_03,__S1__,,,I teraz przeczytam treść pierwszego slajdu prezentacji.
